# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 9.222300000000007003e+01 1.333291568092774833e+04 6.932035836809286593e+02 8.462539368530754835e-01 1.484308749029686902e-01 1.935301976375295926e-02 3.637247329073598490e+00 3.721629689611701264e-01 1.036283100984439261e+04 2.204430062752641334e+03 3.681822773804825033e+01 1.041742772754256308e+00
0.000000000000000000e+00 7.939000000000004320e+01 4.348277024907598388e+03 6.661956518492046371e+02 6.437934089332578935e+00 1.630650155387953215e-01 2.040836679612105520e-02 2.470127301280788945e+00 1.012137926181805592e-01 1.071155197658884208e+04 1.908673776962865759e+03 2.440939043547082132e+00 4.266390529030995027e-01
0.000000000000000000e+00 7.336300000000005639e+01 1.174845034679994569e+04 1.008296121717713618e+03 1.495880367455983517e+00 2.407034767578340451e-01 2.989144826265687990e-02 3.235994078525932682e+00 2.927017116392726659e-01 4.505830999171203985e+03 8.330035438634507727e+02 2.433022658715038844e+01 8.865396484469904026e-01
0.000000000000000000e+00 7.360600000000005139e+01 3.123917448536111806e+03 4.591348411393161655e+02 2.184644104044345614e+00 1.674320661781426300e-01 2.542177774445838687e-02 3.014215691985004941e+00 2.241955329455341261e-01 5.966184660019843250e+03 1.394500896909782114e+03 5.176710151409198879e+00 4.112157044666486239e-01
0.000000000000000000e+00 7.560600000000005139e+01 1.331491039303993784e+04 5.041480608588574910e+02 1.247214316077208673e+00 1.479694271397240246e-01 2.256890671637822032e-02 2.972771564702548108e+00 2.434974739983523373e-01 1.000356596219480343e+04 2.297146294648104231e+03 3.534409803537968742e+01 1.062822713651702777e+00
0.000000000000000000e+00 7.174400000000002819e+01 4.663369562944375502e+03 3.511031138124183144e+02 1.629650698916280893e+00 1.821896761629671069e-01 3.981570295784124525e-02 2.920809627722837032e+00 3.380995229918037914e-01 3.368285729349308440e+03 1.071618620311233599e+03 1.117791121827870882e+01 6.141290521557982718e-01
0.000000000000000000e+00 6.930200000000007776e+01 7.589228844714465595e+03 4.771401290271325024e+02 1.718846348904871757e+00 2.102384655314574469e-01 3.629515798943648563e-02 2.895543735455556433e+00 2.840127145736554004e-01 3.878757723108720711e+03 9.434898150847433271e+02 1.763917725561275773e+01 7.814347912633635707e-01
0.000000000000000000e+00 6.934000000000003183e+01 7.931329314582970255e+03 2.610766743733369708e+02 1.516405456870409507e+00 1.632235314282532435e-01 4.537040344309920675e-02 2.574131264993087420e+00 3.013858257523082673e-01 3.363622978454033728e+03 1.303484929427247380e+03 2.160713855169076680e+01 8.815860110355887569e-01
0.000000000000000000e+00 7.922800000000006548e+01 5.014472676756786313e+03 5.131507048027655173e+02 3.000975943806484914e+00 2.173504269041418024e-01 3.639471986363278233e-02 2.572681210775559002e+00 1.831617578723712392e-01 3.838740989027372962e+03 8.691673391237916348e+02 8.945270222945243432e+00 6.289060912500699096e-01
0.000000000000000000e+00 9.922200000000003683e+01 6.166811101577005502e+03 6.481903639613877885e+02 1.856627584258571551e+00 1.704395596768245591e-01 2.440114152891693228e-02 2.895369216410639712e+00 2.197386101706914341e-01 6.943992413745870181e+03 1.440263692015710376e+03 1.378044302775720809e+01 6.780054210162733686e-01
0.000000000000000000e+00 8.933000000000004093e+01 1.408913777221602140e+04 3.601057577563263976e+02 1.532251643567559496e+00 2.844811270036341488e-01 9.188916913292050070e-02 2.450662553998426585e+00 4.227062553983441662e-01 1.107088250352926934e+03 4.268188018352697100e+02 3.516791912441494361e+01 1.243128280245998640e+00
0.000000000000000000e+00 1.173060000000000400e+02 3.574049645731513465e+03 5.851718563540310925e+02 2.079614885534589064e+00 3.168892672971801994e-01 5.558613179321902908e-02 3.104792192379321136e+00 4.170474867571229427e-01 1.269111942610604274e+03 3.120396766407699261e+02 7.352259625104255569e+00 5.143733470805728070e-01
0.000000000000000000e+00 6.487100000000003774e+01 3.835126320104842762e+03 3.421004698685101744e+02 3.310168271792331307e+00 1.289978209109529650e-01 2.798630214019786830e-02 2.358738637408977379e+00 1.579291752038178287e-01 6.883475614176399176e+03 2.067408245036205699e+03 6.524357318594637967e+00 5.663711472300364536e-01
0.000000000000000000e+00 7.800700000000006185e+01 6.499908927501602193e+03 2.970872501489694741e+02 1.524465474718521563e+00 2.277287554229828481e-01 6.253098479734411907e-02 2.792858752886468565e+00 3.832644903504830447e-01 1.769882993438722451e+03 6.857822968061839219e+02 1.740887443990210315e+01 7.733189411773955246e-01
0.000000000000000000e+00 7.688100000000002865e+01 1.899557872164627497e+03 1.350396591586224702e+02 3.183070528864583526e+00 8.397813810163595738e-02 3.511117446345354831e-02 2.475143629589722227e+00 2.046403910277838356e-01 1.021976947937611840e+04 7.405403795446422919e+03 2.529050845404663850e+00 3.555215924760176671e-01
0.000000000000000000e+00 7.295600000000007412e+01 4.915443593373800468e+03 3.691084017002349924e+02 2.127365184822966881e+00 1.845448759430566299e-01 3.964800479271302081e-02 2.706822346881775143e+00 2.500330014523068911e-01 4.007250234877153616e+03 1.205305469917637311e+03 1.069928068732507853e+01 6.308409914624142356e-01
0.000000000000000000e+00 1.518940000000000623e+02 1.035304053549440368e+03 2.070608107098877895e+02 3.818995816821114442e+00 9.850883227936781117e-02 2.243196217798604924e-02 2.767710367290352913e+00 2.129295250859245536e-01 8.443291066650648645e+03 3.127815724581578252e+03 6.777793526667528212e-01 1.680581366885815775e-01
0.000000000000000000e+00 7.800700000000006185e+01 2.412708576967384033e+03 6.301850760735718637e+01 8.848532451319630621e-01 3.455452857126550259e-01 1.049443378000674665e+00 3.524868578073138803e+00 7.399366631062124000e+00 1.040063332757093946e+02 4.567512145546958209e+02 7.296991441587044491e+00 4.961290955912046607e-01
