# 		Age[Myr] 			 Masses[Msun]			 CoreMass[Msun] 			  TruncRadii[pc]			  CoreRadii[pc] 			  FitAlpha			 FitSigma0 			  FitSigmaBg
8.147199999999997999e+01 1.263971209724694563e+04 4.411295532515025570e+02 1.052134723165567998e+00 3.109556096997799779e-01 3.571245895587214836e+00 1.355369355550862110e+03 3.443611996816764531e+01
1.152579999999999814e+02 5.968752934811138402e+03 5.401586366344930212e+01 3.958820754117167717e-01 1.033974643724032416e-01 4.767145496011483630e+00 4.967198738474207858e+03 1.647813388993783335e+01
6.466699999999997317e+01 1.215356932427606580e+03 2.160634546537970664e+02 7.481694426567247369e+00 9.021029783240581967e-02 2.522726073264876412e+00 1.142296164081334973e+04 3.298658112431130385e-01
7.245999999999997954e+01 1.104624411917523321e+04 4.501321971954105550e+01 3.833349256139080841e-01 1.111441520650850445e-01 4.640402149643938046e+00 5.317177623585641413e+03 3.390145978838313567e+01
7.739400000000000546e+01 3.373290685782682704e+04 4.501321971954106260e+01 2.057445811401937552e-01 8.471592412453664289e-02 4.457980883594291122e+00 2.569392963581806271e+03 9.653438774572488512e+01
1.152579999999999814e+02 5.743686836213439165e+03 4.501321971954106260e+01 5.281542942649271044e-01 9.627274767466342809e-02 3.346583374163605740e+00 2.483321723515892700e+03 1.661960147091718554e+01
7.217799999999999727e+01 3.880139539824480380e+03 2.070608107098887558e+02 1.896246212603979187e+00 2.194112693540958003e-01 2.781996880058337229e+00 1.926265480409186239e+03 9.526930051926409959e+00
7.373499999999995680e+01 4.141216214197820591e+03 4.141216214197775685e+02 1.352198095051458049e+00 2.397925056772678698e-01 3.533324816614717534e+00 2.254729495771896836e+03 9.974989651282184511e+00
6.480799999999999272e+01 9.551805224486510269e+03 3.601057577563283729e+01 7.082869153067765655e-01 9.949808202329343820e-02 4.675593910921955754e+00 1.439241261459487141e+05 2.976241108494970078e+01
7.477899999999999636e+01 6.328858692567457183e+03 1.800528788781641651e+02 1.300258906856660790e+00 2.569381880260740991e-01 2.882428321442420227e+00 9.790812161695721443e+02 1.811353646021664687e+01
