# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
4.729300000000000068e+02 1.401900000000000546e+01 7.830499702412594343e+04 2.584759105673193972e+03 1.193008544402906779e+01 1.857283844336414247e-01 2.247346621467553526e-02 1.645128928840173144e+00 3.975626660135740675e-02 2.935191091665583008e+04 3.775688519695994728e+03 6.225849132019653354e+01 5.794732670352662929e+00
0.000000000000000000e+00 1.922500000000002274e+01 1.771020122521033045e+04 1.530449470464391425e+03 2.933285374128027811e+00 1.659435804102289691e-01 1.628400969418665467e-02 2.535408134424595339e+00 9.211257915924880857e-02 2.151345535171388110e+04 3.005947111607321858e+03 2.956576346632028773e+01 1.211574518308741855e+00
0.000000000000000000e+00 1.760599999999999454e+01 2.200146150514013789e+04 1.693497355226284071e+03 2.626643759920802346e+00 1.916683515530211157e-01 1.918993192297534234e-02 2.506507672103768236e+00 9.575651887533913331e-02 1.652462544552747568e+04 2.292607128810788709e+03 4.666838310652441635e+01 1.487407657238767111e+00
0.000000000000000000e+00 1.878500000000002501e+01 6.439191095569796744e+04 1.879551996733719534e+03 4.270373977441376923e+00 2.386535049722487423e-01 2.945605296093102565e-02 1.852187476123134724e+00 6.684384907106875884e-02 1.307090575710943267e+04 1.755100082975168789e+03 1.244604474502298643e+02 4.248734427255373980e+00
0.000000000000000000e+00 2.603800000000001091e+01 5.342168916315762908e+04 1.759516744148277212e+03 3.756290386700867234e+00 2.434543692193173459e-01 3.146591080354464720e-02 1.950186936993493658e+00 7.612259803643435518e-02 1.173504097253407235e+04 1.706555599763700911e+03 1.124451334625138372e+02 3.581107183624838708e+00
0.000000000000000000e+00 1.647100000000000364e+01 1.959075351571563078e+04 2.014591655892342487e+03 1.131342524178849729e+01 2.481280790626523014e-01 2.386660330264098878e-02 2.081181957778593716e+00 5.817440196950542097e-02 1.327049493732629890e+04 1.561328504053339202e+03 9.359514358145910151e+00 1.604148524082778415e+00
0.000000000000000000e+00 4.398300000000000409e+01 5.221533487466669612e+03 1.143335780876339186e+03 1.304560965389881283e+07 1.518610507555229749e-01 1.510278201326059437e-02 2.505005388287703472e+00 7.382011991993227273e-02 1.834544884609634391e+04 2.735950484522270017e+03 4.895539388659283540e-16 2.609994698237891875e-01
0.000000000000000000e+00 3.519200000000000728e+01 7.923326964410621258e+03 1.162341362535700682e+03 1.821548009478409336e+00 1.953033836607900586e-01 1.880372055943891479e-02 3.270658252777832953e+00 1.932873378344230342e-01 1.048910589528808305e+04 1.585968797866336672e+03 1.411945200041309434e+01 6.839964186617388808e-01
0.000000000000000000e+00 1.881800000000004047e+01 6.661956518491974748e+03 6.481903639613892665e+02 2.033791098331995784e+00 1.699831356362072610e-01 2.549848262401190058e-02 2.927182825849329539e+00 2.267487667295425002e-01 6.744920101405991772e+03 1.527710830021046377e+03 9.429556637237055838e+00 5.968757398719791718e-01
0.000000000000000000e+00 2.004000000000001691e+01 6.008764685672889755e+03 1.509443301261939041e+03 2.438463727301103390e+00 2.127766055024701286e-01 1.603419721250617588e-02 3.354203269914395324e+00 1.595144692689771937e-01 1.235063185438467917e+04 1.512522228122664501e+03 6.915934467526563267e+00 4.945724444754354687e-01
0.000000000000000000e+00 1.753900000000004411e+01 1.850243389227426087e+04 1.458428318913125395e+03 5.509577657594941139e+09 2.558467093130472603e-01 3.666270449922454100e-02 1.850492288073392944e+00 6.893463074008689129e-02 7.746002032973471614e+03 1.259913247346266417e+03 1.171425154955100670e-15 1.757289752062008992e+00
0.000000000000000000e+00 3.048000000000001819e+01 4.688376907233036036e+03 4.411295532515006244e+02 6.086533763898832383e+00 9.280272154107310767e-02 1.653015629766722838e-02 2.256968579455631119e+00 8.710389435671302139e-02 2.285364607038259055e+04 5.928805995585898927e+03 3.626347999801898592e+00 5.110693985216626656e-01
0.000000000000000000e+00 1.231499999999999773e+01 1.567560369388698382e+04 6.711971207069325374e+02 3.481903624692768574e+09 1.138186228991006216e-01 2.300799116256786736e-02 1.679518186267913160e+00 5.465145149868493729e-02 1.872997419935551079e+04 4.385327499741464635e+03 9.179214908580909973e-14 1.869730757669029186e+00
0.000000000000000000e+00 1.753900000000004411e+01 1.863747355143288587e+04 1.060311397838074896e+02 2.523870650701034483e+39 3.048143772410025210e-02 2.120813957728392291e-02 1.505023560498622626e+00 6.068898668558848214e-02 6.471103284179362527e+04 5.672484082149704045e+04 3.383815310476983756e-57 2.048181159624932413e+00
0.000000000000000000e+00 2.146800000000001774e+01 1.775121326984366897e+04 6.121797881857563652e+02 9.708914513707865845e-01 1.194970255132318943e-01 1.708972396498743135e-02 3.078002442701635477e+00 2.613899019316731076e-01 1.504891594056001486e+04 3.355430501883376110e+03 4.758166822263824969e+01 1.227782723932968612e+00
0.000000000000000000e+00 2.640200000000004366e+01 2.653279229024129381e+04 7.352159220858350182e+02 1.231184210583657457e+00 2.021725114589535688e-01 3.106830434114782671e-02 2.891251284128928400e+00 2.737132886839595547e-01 6.071234135640586828e+03 1.333716603133178069e+03 6.508701083397889420e+01 1.515528771264694985e+00
0.000000000000000000e+00 1.878500000000002501e+01 6.936837246913790295e+04 2.860840186619711858e+02 1.619421635881913346e+00 1.122396290030142907e-01 3.790736266688967543e-02 1.783314664774027891e+00 1.321193622034798620e-01 1.118132707610816760e+04 4.178413289754706057e+03 1.899224850064017289e+02 3.695688762600402466e+00
0.000000000000000000e+00 9.407000000000039108e+00 6.097790831340448676e+03 8.052364860940097060e+02 3.664653453060374932e+00 1.408669133877980539e-01 1.737703008709470462e-02 2.674780731243656451e+00 1.269876555273204144e-01 1.627267446915448272e+04 3.005139398851747501e+03 5.333399332080469790e+00 5.477510391983259064e-01
0.000000000000000000e+00 3.519200000000000728e+01 1.556857226033158440e+04 2.250660985977045527e+02 8.876149013912955077e-01 7.414425469847263361e-02 2.241972333195351580e-02 2.743351296147390705e+00 3.324272475372695990e-01 1.767304303336358498e+04 8.365084331647907675e+03 3.891586785762425649e+01 1.123450312116628602e+00
