# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
6.170603797089698901e+02 8.439182009060173684e+00 1.631629999999999541e+02 5.671665684662117428e+02 1.394249667051548163e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.675649999999999409e+02 5.041480608588554446e+02 1.200018736627241402e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.062659999999999627e+02 9.902908338298945523e+01 2.093308828192617319e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.080959999999999468e+02 9.902908338298945523e+01 2.045463909036321390e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.560099999999999341e+02 7.202115155126503510e+01 1.774671279453722446e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 1.080317273268975669e+02 2.564594095482478724e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.692069999999999368e+02 1.260370152147138327e+02 2.835929892231674309e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.679969999999999573e+02 4.681374850832228844e+02 1.114303112582438313e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.687859999999999445e+02 1.170343712708057211e+02 2.816454763009954659e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.581539999999999395e+02 1.260370152147138612e+02 3.113022416396081006e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.577139999999999418e+02 3.883740597401968262e+04 1.029105067333033720e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.605849999999999227e+02 9.002643943908131519e+01 2.152579320511027124e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.612339999999999236e+02 1.170343712708057069e+02 2.875067201380262039e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.062659999999999627e+02 7.202115155126506352e+01 1.609050777858645041e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.077159999999999513e+02 9.002643943908132940e+01 6.424350453478820248e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.558719999999999573e+02 8.102379549517320356e+01 2.052249031701449181e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.573699999999999477e+02 5.491612805783958038e+02 1.413610736480778762e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.612339999999999236e+02 7.302144532281040767e+01 3.438908857242169638e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.605849999999999227e+02 8.102379549517318935e+01 2.027771010763194918e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.580059999999999718e+02 2.160634546537951337e+02 5.319904269462024642e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.612339999999999236e+02 8.102379549517317514e+01 1.930032519219722926e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.080959999999999468e+02 1.100323148699882978e+02 8.076601516848435074e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.301299999999992352e+01 7.372165096289214716e+02 5.086110856195370754e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.579239999999999213e+02 2.260663923692486605e+02 8.794562090734819483e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.572979999999999450e+02 9.902908338298948365e+01 2.498751647246599729e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.579239999999999213e+02 7.202115155126506352e+01 1.660824963377284897e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.576129999999999427e+02 1.170343712708057353e+02 2.875340127937942019e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.572979999999999450e+02 1.350396591586220154e+02 5.609928009045107620e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.577139999999999418e+02 1.080317273268975953e+02 4.769340864033416051e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.692069999999999368e+02 7.202115155126503510e+01 1.720840223375506613e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.697329999999999472e+02 7.202115155126506352e+01 1.772367511876389025e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.612029999999999177e+02 8.102379549517317514e+01 1.981886159318119875e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.517839999999999350e+02 9.002643943908131519e+01 2.172856358897955188e+33
0.000000000000000000e+00 0.000000000000000000e+00 7.083299999999996999e+01 8.039361041909963205e+03 5.608997127533833260e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.876779999999999404e+02 2.745806402891978905e+03 5.628881418077732013e+34
0.000000000000000000e+00 0.000000000000000000e+00 7.408999999999993236e+01 1.026301409605526715e+03 6.856213851846813838e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.692069999999999368e+02 8.102379549517318935e+01 1.904924751881263086e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.062659999999999627e+02 8.102379549517320356e+01 1.728802801097314752e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.741749999999999545e+02 1.341393947642310650e+03 3.014298576230606072e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.697329999999999472e+02 9.902908338298948365e+01 2.316263306637728281e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 8.102379549517318935e+01 1.922193626290010936e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 2.727801115004164330e+03 6.505570674555397028e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.651629999999999541e+02 8.102379549517318935e+01 1.858413441642879748e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 2.160634546537951906e+02 5.085996200740861496e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.687679999999999723e+02 7.202115155126504931e+01 1.737160408134402741e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 9.002643943908131519e+01 2.079624964830822434e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.572979999999999450e+02 8.102379549517318935e+01 1.903727456975801584e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.580059999999999718e+02 7.202115155126504931e+01 1.795355584397503428e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 8.102379549517320356e+01 1.938168333935648113e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.581539999999999395e+02 9.902908338298942681e+01 2.406130178785512470e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.700969999999999231e+02 7.202115155126504931e+01 1.777814990766805473e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.697329999999999472e+02 1.260370152147138327e+02 2.912095298912131602e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.577139999999999418e+02 1.260370152147138754e+02 3.002398336814052167e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.566299999999999386e+02 7.202115155126506352e+01 1.657041371730093312e+33
0.000000000000000000e+00 0.000000000000000000e+00 7.643099999999992633e+01 2.853838130218878177e+03 1.815088405583927322e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.601659999999999400e+02 7.202115155126504931e+01 2.458815817127139394e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.067579999999999245e+02 7.202115155126506352e+01 1.357120468983128909e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.689469999999999459e+02 2.223653054145310307e+03 5.256503443577333353e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.830799999999999272e+01 9.102673321062667355e+01 7.261914178624402781e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.067579999999999245e+02 7.202115155126507773e+01 1.368858072242781648e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.560099999999999341e+02 8.102379549517320356e+01 2.018212968157638931e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.588969999999999345e+02 5.761692124101208492e+02 1.466155297771372756e+34
