# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
3.547586353999517996e+02 1.264906125963211991e+01 1.551455639666850857e+03 4.901439480572256002e+01 7.330270187432558401e+35 2.290709433572674961e+34 1.551455639666850857e+03 4.901439480572256002e+01 7.330270187432558401e+35 2.290709433572674961e+34
3.558205728054308565e+02 1.262190596123824449e+01 1.540452408179841768e+03 5.801703874963040874e+01 6.597769277886404530e+35 2.489724255806190023e+34 1.540452408179841768e+03 5.801703874963040874e+01 6.597769277886404530e+35 2.489724255806190023e+34
3.568458282949304703e+02 1.259587691029986090e+01 1.487436838287937917e+03 1.050308460122619323e+02 5.841450768594709798e+35 4.172464834710507130e+34 1.487436838287937917e+03 1.050308460122619323e+02 5.841450768594709798e+35 4.172464834710507130e+34
3.578985616907833105e+02 1.256920316023214923e+01 1.542452995722941068e+03 4.801410103417716613e+01 5.624967048452763990e+35 1.757802202641488286e+34 1.542452995722941068e+03 4.801410103417716613e+01 5.624967048452763990e+35 1.757802202641488286e+34
3.590127309975222261e+02 1.254117396946281993e+01 3.672078435342984449e+03 1.060311397838072338e+02 4.834447909463742214e+36 3.535026592504331761e+34 3.672078435342984449e+03 1.060311397838072338e+02 4.834447909463742214e+36 3.535026592504331761e+34
3.600152468417887803e+02 1.251603711042440814e+01 3.764105462325152075e+03 0.000000000000000000e+00 5.078452888057242487e+36 0.000000000000000000e+00 1.573462102640835610e+03 2.200646297399769537e+03 4.817745429216950907e+35 4.599615994787509833e+36
3.607332394997312690e+02 1.249809524827332829e+01 3.761104581010521997e+03 0.000000000000000000e+00 5.684846633766199384e+36 0.000000000000000000e+00 1.570461221326202121e+03 2.200646297399773175e+03 4.675669958706393648e+35 5.220130656163064226e+36
3.611218095460216091e+02 1.248845347987534993e+01 3.742098999351143902e+03 2.900851937481508003e+01 6.416150838471428038e+36 8.396943958903140784e+33 1.551455639666834031e+03 2.219651879059125804e+03 4.534349737807696162e+35 5.971112808649562469e+36
3.621445105894200651e+02 1.246307204498762644e+01 3.659074616312896069e+03 1.050308460122619181e+02 7.301437829227277843e+36 2.913350152467382793e+34 1.469431550400121523e+03 2.294673911925036464e+03 4.078690213454335910e+35 6.922702309406517637e+36
3.632097552362910733e+02 1.243676089373322036e+01 3.593055227390935215e+03 1.620475909903484251e+02 4.964203149765968851e+36 7.910317133264150994e+34 3.153926261682521726e+03 6.011765566987616012e+02 4.032124250256627191e+36 1.011182070841983797e+36
3.642470984313101212e+02 1.241130469931110625e+01 3.525035250925822766e+03 2.210649235115229487e+02 3.747280237529659357e+36 1.220138919846329126e+35 3.098910104247503114e+03 6.471900701898432544e+02 3.064205135632613232e+36 8.050889938816784843e+35
3.653090022602489171e+02 1.238528759275933133e+01 3.494026144007927542e+03 2.410707989424307982e+02 3.157213981960775386e+36 1.107857797451392052e+35 3.089907460303604239e+03 6.451894826467544135e+02 2.614233952530962670e+36 6.537658091749515153e+35
3.663398967791297878e+02 1.236021585497405617e+01 3.492025556464850979e+03 2.270666861407966621e+02 2.732789197358964457e+36 7.801934036760683072e+34 1.355398060443962549e+03 2.363694182161684694e+03 3.036424535903923668e+35 2.507166084136179492e+36
3.673602815256713825e+02 1.233549592273133122e+01 3.518033194525048657e+03 1.880552290505285953e+02 2.369740115540936904e+36 5.497600152766628796e+34 1.381405698504149314e+03 2.324682725071429104e+03 2.926289808311160737e+35 2.132087136237486897e+36
3.683870297724254215e+02 1.231071590435453800e+01 3.538039069955931154e+03 1.600470034472572820e+02 2.054386285110162157e+36 4.494188455891034294e+34 1.403412161478137477e+03 2.294673911925051016e+03 2.864779887849349062e+35 1.812850180884137243e+36
3.693944507182858388e+02 1.228656321930752604e+01 3.545041126356731183e+03 1.390408342448040742e+02 1.806755764232592946e+36 3.810193844439189607e+34 1.417416274279765275e+03 2.266665686321769499e+03 2.810888300846698236e+35 1.563768872592315521e+36
3.703957031126806214e+02 1.226260717903741870e+01 3.540039657499008172e+03 1.300381903008960194e+02 1.618611555789423186e+36 3.809378157500068644e+34 1.429419799538311054e+03 2.240658048261593194e+03 2.713443111473922539e+35 1.385361026217031226e+36
3.712032919021027055e+02 1.224338653331448512e+01 3.559045239158379445e+03 1.020299646976263972e+02 1.511826595597500098e+36 3.085769630534623354e+34 3.559045239158379445e+03 1.020299646976263972e+02 1.511826595597500098e+36 3.085769630534623354e+34
3.722441318885786359e+02 1.221873276511361617e+01 3.527035838468943439e+03 1.240364276716247787e+02 1.337946042082294430e+36 4.900633962735731802e+34 3.527035838468943439e+03 1.240364276716247787e+02 1.337946042082294430e+36 4.900633962735731802e+34
3.732894549139604123e+02 1.219406551163733354e+01 3.486023793835584911e+03 1.540452408179856434e+02 1.187954238644985328e+36 6.359863398086922593e+34 3.263958576552514842e+03 3.761104581010559400e+02 1.083787795267152868e+36 1.677650773587017229e+35
3.743099834904877525e+02 1.217008729667297295e+01 3.330978259246034213e+03 2.940863688343346780e+02 1.055211693582076281e+36 1.050063641637359537e+35 3.196938893858956817e+03 4.281257342214123582e+02 9.971181276132654047e+35 1.630999301325470880e+35
3.753243247213994778e+02 1.214641655871350423e+01 3.290966508384243753e+03 3.210943006660614287e+02 9.712400623263227361e+35 1.035126388137973172e+35 3.156927142997164538e+03 4.551336660531400184e+02 9.181359644300069510e+35 1.566167367101128625e+35
3.763453852355039544e+02 1.212261597583777117e+01 5.001468857726805254e+03 7.732270854045643773e+02 5.109210643189076565e+36 2.006414296559432610e+35 4.777403052900644980e+03 9.972928902307253338e+02 5.043310082942455526e+36 2.665419899025637463e+35
3.773689001233888121e+02 1.209890045805996905e+01 4.928447412403968883e+03 8.312441241541905583e+02 5.478760460647566000e+36 2.054658343681704655e+35 4.785405403072982153e+03 9.742861334851764923e+02 5.429772285821714402e+36 2.544540091940211408e+35
3.784170799342582541e+02 1.207475542659499901e+01 4.860427435938862800e+03 8.912617504469083087e+02 6.981452066579018646e+36 2.859948820035578168e+35 4.766399821413599966e+03 9.852893649721713700e+02 6.951871941913503405e+36 3.155750066690730583e+35
