# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
3.571101139896041445e+02 1.258915002912297609e+01 4.759397765012838136e+03 3.901145709026916109e+01 8.238172682538744143e+36 2.443768099622296045e+34 0.000000000000000000e+00 4.798409222103107822e+03 0.000000000000000000e+00 8.262610363534966938e+36
3.576212333613303826e+02 1.257619928010613997e+01 4.796408634560038081e+03 0.000000000000000000e+00 8.320596698060494025e+36 0.000000000000000000e+00 4.796408634560038081e+03 0.000000000000000000e+00 8.320596698060494025e+36 0.000000000000000000e+00
3.582227867231731011e+02 1.256103312138708183e+01 5.864722382570493210e+03 0.000000000000000000e+00 1.082409487019984006e+37 0.000000000000000000e+00 9.132682134209209153e+02 4.951454169149572408e+03 5.071399851642189189e+35 1.031695488503562055e+37
3.587893759059628565e+02 1.254677942274635782e+01 5.863722088798844197e+03 0.000000000000000000e+00 1.176353030699546833e+37 0.000000000000000000e+00 5.863722088798844197e+03 0.000000000000000000e+00 1.176353030699546833e+37 0.000000000000000000e+00
3.593114795579710403e+02 1.253368815842056172e+01 5.780697705760544522e+03 8.002350172362753256e+01 1.301338546900537467e+37 2.304078405602334947e+35 5.780697705760544522e+03 8.002350172362753256e+01 1.301338546900537467e+37 2.304078405602334947e+35
3.598419691147788626e+02 1.252037878089669576e+01 5.712677729295516656e+03 1.480434781887123847e+02 1.447160566908822942e+37 3.918741872546482083e+35 5.712677729295516656e+03 1.480434781887123847e+02 1.447160566908822942e+37 3.918741872546482083e+35
3.603891951403234657e+02 1.250667690609157923e+01 5.617649820998762152e+03 2.390702113993418720e+02 1.431644403915357194e+37 6.950888210792768042e+35 4.708382782664026308e+03 1.148337249734076750e+03 1.391638153080785352e+37 1.095151329424993896e+36
3.607279848968722717e+02 1.249822572762856687e+01 5.564634251106850570e+03 2.890848999766097336e+02 1.325147640916693534e+37 7.571734707561921787e+35 5.108500291282163744e+03 7.452188598012951388e+02 1.221213595486528777e+37 1.796513925057839456e+36
3.610006866700909995e+02 1.249145747989269495e+01 5.493613393327095764e+03 3.571048764416922268e+02 1.277290676722219812e+37 8.462945956310458870e+35 4.037185661957057164e+03 1.813532607811730486e+03 8.578499191108094815e+36 5.040702171745147864e+36
3.615740010576313921e+02 1.247725037014263272e+01 5.341568740052218345e+03 5.051483546304064589e+02 1.048145701205082395e+37 1.030279450266998099e+36 5.341568740052218345e+03 5.051483546304064589e+02 1.048145701205082395e+37 1.030279450266998099e+36
3.620893612330117435e+02 1.246444447457622751e+01 5.359574027940047017e+03 4.771401290271374478e+02 9.003804969912429325e+36 8.953749730445061315e+35 5.359574027940047017e+03 4.771401290271374478e+02 9.003804969912429325e+36 8.953749730445061315e+35
3.626119196234628816e+02 1.245150577011971116e+01 5.302557282961899546e+03 5.271548176043994545e+02 7.845345963448739216e+36 8.459358665398625543e+35 5.302557282961899546e+03 5.271548176043994545e+02 7.845345963448739216e+36 8.459358665398625543e+35
3.631215072419950047e+02 1.243893538746922012e+01 5.301556989190443346e+03 5.171518798889545678e+02 7.055943141987367425e+36 7.423345433274602292e+35 5.301556989190443346e+03 5.171518798889545678e+02 7.055943141987367425e+36 7.423345433274602292e+35
3.636427032810132687e+02 1.242610293077521710e+01 5.341568740052192879e+03 4.651366037685897936e+02 6.438538745079104242e+36 6.270702178808725618e+35 3.439009986572928938e+03 2.367695357247854190e+03 4.487531262025881124e+36 2.578077700934095385e+36
3.641872091550404207e+02 1.241276588296144645e+01 5.385581666000216501e+03 4.161222089628696494e+02 5.971894688444718970e+36 5.291811004727413416e+35 4.575343711048475598e+03 1.226360163914610666e+03 4.772909405390213847e+36 1.728166383527248088e+36
3.646959393201223634e+02 1.240031134320411255e+01 5.400586072573391903e+03 3.961163335319621410e+02 5.494585796753724113e+36 4.640573150223590918e+35 4.481316096523207307e+03 1.315386309582146851e+03 4.251551966365539608e+36 1.707091145410543745e+36
