# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
4.238399168726080006e+02 1.112395324981373612e+01 6.582799999999997453e+01 3.781110456441414271e+02 2.925831359265252331e+34
0.000000000000000000e+00 0.000000000000000000e+00 6.762999999999999545e+01 9.902908338298951207e+01 7.250912847687579076e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.554299999999994952e+01 7.192112217411053052e+02 1.704082926396336516e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.482999999999947249e+00 7.513206518077109649e+03 1.639153216801566021e+37
0.000000000000000000e+00 0.000000000000000000e+00 1.946599999999995134e+01 1.684494711282366552e+03 5.394774131641551848e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.582999999999969987e+00 3.380992947823277746e+02 7.438389521428538981e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.683999999999969077e+00 5.028476789558464588e+03 1.103652954184470795e+37
0.000000000000000000e+00 0.000000000000000000e+00 1.181999999999959527e+00 1.514244711365347757e+04 3.043684298487126559e+37
0.000000000000000000e+00 0.000000000000000000e+00 1.946599999999995134e+01 9.502790829680806439e+01 3.047894989627995293e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.935000000000002274e+00 4.111807577314307127e+04 1.105351991711486866e+38
0.000000000000000000e+00 0.000000000000000000e+00 4.383999999999957708e+00 1.300381903008952520e+02 2.873289584655046390e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.974999999999965894e+00 7.107087246829698415e+03 1.436549677293839350e+37
0.000000000000000000e+00 0.000000000000000000e+00 4.917999999999949523e+00 3.200940068945113808e+02 6.312794308695688512e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.944999999999993179e+00 1.300381903008952520e+02 2.440698800089290275e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.944999999999993179e+00 1.800528788781626304e+02 3.687348600676840467e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.935000000000002274e+00 1.300381903008952236e+02 3.959364529278854613e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.341999999999984539e+00 1.190349588138964094e+02 1.227951590736899813e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.341999999999984539e+00 9.002643943908131519e+01 9.195596824322677126e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.024999999999977263e+00 9.002643943908132940e+01 1.675612205668603701e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.383999999999957708e+00 1.300381903008952520e+02 2.979746390885144911e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.394999999999981810e+00 2.000587543090695704e+02 4.596430522726875150e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.629999999999995453e+00 4.799409515874578574e+03 1.299689588950673600e+37
0.000000000000000000e+00 0.000000000000000000e+00 2.613999999999975898e+00 2.300675674554299519e+02 6.262213008579233706e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.937999999999988177e+00 1.000293771545348136e+02 1.972422736114861441e+35
0.000000000000000000e+00 0.000000000000000000e+00 3.377999999999985903e+00 2.300675674554299519e+02 7.581023380081541780e+35
0.000000000000000000e+00 0.000000000000000000e+00 3.377999999999985903e+00 1.920564041367068285e+03 6.328506473807199684e+36
0.000000000000000000e+00 0.000000000000000000e+00 3.377999999999985903e+00 2.900851937481508571e+02 9.558681653146288729e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.994999999999947704e+00 8.562514684428183500e+02 1.616909653983238537e+36
0.000000000000000000e+00 0.000000000000000000e+00 4.881499999999999773e+01 2.070608107098871642e+02 2.228229558660654177e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.686999999999954980e+00 5.251542300613077714e+03 1.128293328684892849e+37
0.000000000000000000e+00 0.000000000000000000e+00 4.937999999999988177e+00 3.080904816359671372e+02 6.085972699479452868e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.290378965293498823e+03 2.556169863288559763e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.182403051240948116e+03 1.620889107108559203e+37
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.030302584691708716e+03 2.063433487825701914e+36
0.000000000000000000e+00 0.000000000000000000e+00 2.909999999999968168e+00 1.383406286047216781e+03 4.140866234074137275e+36
0.000000000000000000e+00 0.000000000000000000e+00 3.377999999999985903e+00 1.300381903008952520e+02 4.284926258306958365e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.994999999999947704e+00 8.002350172362784519e+01 1.520862623938652147e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.994999999999947704e+00 1.000293771545348136e+02 1.901078279923315322e+35
0.000000000000000000e+00 0.000000000000000000e+00 5.021099999999995589e+01 8.102379549517317514e+01 8.654510505452921677e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.018999999999999773e+01 1.191349881910509566e+03 9.302945823510951012e+35
0.000000000000000000e+00 0.000000000000000000e+00 6.614999999999952252e+00 7.322150407711949356e+02 1.002840165139761713e+36
0.000000000000000000e+00 0.000000000000000000e+00 6.614999999999952252e+00 6.051777317849358724e+02 8.266655415341278012e+35
0.000000000000000000e+00 0.000000000000000000e+00 5.023799999999999955e+01 1.710502349342544903e+02 1.827063328928950119e+34
0.000000000000000000e+00 0.000000000000000000e+00 6.736899999999997135e+01 9.272723262225371172e+02 6.912310379994540042e+34
