# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
3.662517668548872507e+02 1.236235243250900417e+01 9.185000000000002274e+00 2.050602231667956517e+02 1.834965762163637121e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.781000000000005912e+00 2.486730316061726171e+03 2.151496963203618268e+36
0.000000000000000000e+00 0.000000000000000000e+00 9.185000000000002274e+00 2.370696238562467215e+02 2.153829106801811146e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.240000000000009095e+00 1.180346650423506389e+02 1.253664263064955603e+35
0.000000000000000000e+00 0.000000000000000000e+00 8.240000000000009095e+00 7.962338421500940058e+02 8.462233775688450088e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.004200000000003001e+01 4.091201525620462007e+02 3.328505588017988751e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.185000000000002274e+00 9.902908338298914259e+01 8.974287945007547366e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.125200000000000955e+01 6.982050525386503068e+02 2.043256363333097599e+35
