# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
5.385171885471227142e+02 9.335938573926682693e+00 3.692700000000007776e+01 1.325389247297591282e+03 2.020006913298792107e+35
0.000000000000000000e+00 0.000000000000000000e+00 3.559800000000007003e+01 1.910561103651622545e+02 3.080730794585999999e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.686900000000002819e+01 1.000293771545352115e+02 1.524171131384768068e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.686900000000002819e+01 8.102379549517351620e+01 1.254202199137857401e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.580500000000006366e+01 9.702849583989916482e+01 4.153379948827203252e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.580500000000006366e+01 1.230361339000783119e+02 5.405921121697404537e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.571300000000007735e+01 1.360399529301679138e+02 5.454698715634230981e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.580500000000006366e+01 9.492787891965392646e+02 3.930255805904411875e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.526100000000008095e+01 6.201821383581184364e+02 2.761722091697684294e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.099630000000000791e+02 8.192405988956434157e+02 3.314960356849075329e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.085970000000000368e+02 1.440423031025306386e+02 5.782557802233810501e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.120620000000000687e+02 5.761692124101228956e+02 2.249986819381105172e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.112990000000000350e+02 2.160634546537959579e+02 8.495936186002422813e+33
0.000000000000000000e+00 0.000000000000000000e+00 7.623700000000008004e+01 9.002643943908168467e+01 4.752607569033013293e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.922300000000007003e+01 1.280376027578050753e+02 2.478326249036958318e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.954300000000006321e+01 7.102085777971999505e+02 1.370565065550573702e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.947500000000007958e+01 3.691084017002350492e+02 7.217280935571526511e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.256400000000007111e+01 9.002643943908169888e+01 1.086978615820831949e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.538400000000007140e+01 7.202115155126534773e+01 5.591125208971678457e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.820460000000000491e+02 4.951454169149490667e+02 1.026210726053284015e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.753200000000003911e+01 6.751982957931128340e+02 7.674697442105620835e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.174010000000000815e+02 1.710502349342551724e+02 6.362032146603568540e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.402200000000000273e+02 3.421004698685106291e+02 9.835209077581672778e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.167210000000000605e+02 6.842009397370209172e+02 2.567124957283902167e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.167210000000000605e+02 8.102379549517351620e+01 3.027874740266093115e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.922300000000007003e+01 1.010296709260805699e+02 1.792082246971810967e+34
0.000000000000000000e+00 0.000000000000000000e+00 7.875300000000004275e+01 3.330978259246023754e+02 2.039761560743379250e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.161600000000000250e+02 5.311559926905820248e+02 2.045621499368404412e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.153050000000000637e+02 2.700793183172449403e+02 1.025159887292364651e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.805050000000000523e+02 3.150925380367857542e+02 6.562480778236014947e+33
0.000000000000000000e+00 0.000000000000000000e+00 4.935600000000005139e+01 1.620475909903470608e+02 1.771219990370049352e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.159810000000000514e+02 8.192405988956433021e+02 3.090589980572707579e+34
