# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
4.768399999999999750e+02 3.031200000000001182e+01 3.020086955049877361e+04 5.321562864621337212e+02 1.666157980855362197e+01 9.537286988143678368e-02 2.097212377508081427e-02 1.552020613558190654e+00 4.908510186080370513e-02 2.740615393460881751e+04 6.540131510104620247e+03 1.814061351431135805e+01 3.514622309364192176e+00
0.000000000000000000e+00 1.792899999999997362e+01 7.744974584945422248e+04 1.850543477358923383e+03 8.811864964633331354e+00 1.678910627052122850e-01 2.166791296378751952e-02 1.618053773652804228e+00 4.241831921845015674e-02 2.682306659640449652e+04 3.575442368559831266e+03 8.824818716639239824e+01 5.374875599802449777e+00
0.000000000000000000e+00 2.151599999999996271e+01 5.271748234798960038e+04 2.271667155179521615e+03 1.323946114473954161e+00 2.608984920779977568e-01 2.078119993060987755e-02 3.238891383994822348e+00 1.952588297207366874e-01 1.220977717733128338e+04 1.451071807444152455e+03 1.261185701333570250e+02 2.093567279740883968e+00
0.000000000000000000e+00 2.313499999999999091e+01 2.015691979041049490e+04 1.571461515097767233e+03 2.577957527283945893e+00 1.650144647916800267e-01 1.589222467207569364e-02 2.620002175727766947e+00 1.009914026981884178e-01 2.207365465014430811e+04 3.072804505831240931e+03 3.288086645891036142e+01 1.239618402850449330e+00
0.000000000000000000e+00 2.038099999999997181e+01 3.283964451983585604e+04 2.232655698089252382e+03 7.151014596067258644e+00 3.101372819249121893e-01 3.528610618208709304e-02 1.907950063830208043e+00 6.936106059376956345e-02 7.963626475038594435e+03 9.876898177889149792e+02 3.989067044951327290e+01 2.903300851880774136e+00
0.000000000000000000e+00 2.394999999999998863e+01 1.693197267094802737e+04 1.414415392965144974e+03 1.553199448652163639e+00 2.151370694358320790e-01 1.972847298680758740e-02 3.257611630263968827e+00 1.990759278090092621e-01 1.079080092494244491e+04 1.529630035624391894e+03 3.441058518758362084e+01 1.083886057695483629e+00
0.000000000000000000e+00 1.792899999999997362e+01 7.972341359217847639e+04 7.422179784866601722e+02 4.163949776503200084e+00 1.281564127023549216e-01 2.414347589812657763e-02 1.601648344064757312e+00 6.071600443659002505e-02 2.058373069773158568e+04 3.933819940677760314e+03 1.554515010269289803e+02 5.003861492662800892e+00
0.000000000000000000e+00 1.622499999999996589e+01 1.961976203509061088e+04 2.910854875197009051e+02 8.416359231822278976e+09 5.652619315073344891e-02 2.005140277974172894e-02 1.496762460492490954e+00 4.943481277962511605e-02 3.897955257201816130e+04 1.586297239414774231e+04 1.474781494110480461e-12 2.657052896451265855e+00
0.000000000000000000e+00 2.151599999999996271e+01 3.200840039568068460e+04 2.017592537206999623e+03 2.607924653502004642e+00 2.733005613767396924e-01 2.556945774643095554e-02 2.543116849273066027e+00 1.082585027761046453e-01 1.044852461647941709e+04 1.309450610961530856e+03 6.719089251815920250e+01 1.902516240025924787e+00
0.000000000000000000e+00 2.144900000000001228e+01 1.670590627857876098e+04 1.895556697078464822e+03 2.241431709844413750e+14 3.594324521553641238e-01 5.194271214020824978e-02 1.902122812917151462e+00 7.741456773875410313e-02 5.079414584426932379e+03 8.087977467526849296e+02 7.330122048339962065e-25 2.020542669050029438e+00
0.000000000000000000e+00 4.789299999999997226e+01 5.285552288845686235e+03 9.902908338299100706e+02 1.519856574146225228e+02 1.459304298064692251e-01 1.493724102026636885e-02 2.482973189383351542e+00 7.128052133924232814e-02 2.005159941422184420e+04 3.060608440419208819e+03 1.289490685666110819e-03 2.802006821424036231e-01
0.000000000000000000e+00 3.438999999999998636e+01 5.305558164276590105e+03 8.392464743265597917e+02 2.840671006457006875e+00 1.614145708846503602e-01 1.848376813569564681e-02 2.809236376445152228e+00 1.491795450233879272e-01 1.086237511846953203e+04 1.898114447595060028e+03 6.886117649770230997e+00 5.427740704792886062e-01
0.000000000000000000e+00 2.537799999999998590e+01 3.081705051377088967e+04 1.050308460122632596e+03 9.016047339137011063e-01 1.960526005881962908e-01 2.032599946643179681e-02 3.611545889203541915e+00 3.283589313990798453e-01 1.015160472518686765e+04 1.645241361155115783e+03 8.177944936350939997e+01 1.582758901738983592e+00
0.000000000000000000e+00 1.331700000000000728e+01 6.699967681810770955e+03 6.801997646508475270e+01 1.311832534133895578e+01 2.731415200424475859e-02 1.947712982834986367e-02 1.895849166052414603e+00 7.541969467553799600e-02 1.172544322257864260e+05 1.339538422514700505e+05 1.933988205509962643e+00 6.290260090548926986e-01
0.000000000000000000e+00 1.772599999999999909e+01 1.535350909944942759e+04 6.391877200174874361e+02 1.064074233522942059e+00 1.221726584028174772e-01 1.781115685009249106e-02 3.044830693398198562e+00 2.503894961013164444e-01 1.419491335503860319e+04 3.072421643083558592e+03 3.894324440358208506e+01 1.101800414205623468e+00
