# 		 Time[MYR]		 redshift		 total_counts		 gc_counts		 total_masses[Msun]		 gc_masses[Msun]		  gc_core_masses[Msun]
5.246499999999999773e+02 9.517316949127959447e+00 4.203700000000000000e+04 1.657800000000000000e+04 3.784441434700687532e+05 1.475533342406560259e+05 4.025982371715744375e+04
5.270499999999999545e+02 9.485342440655561091e+00 4.203700000000000000e+04 1.636800000000000000e+04 3.784441434700665995e+05 1.460138821262467536e+05 4.483316684066255402e+04
5.297999999999999545e+02 9.448953436129801986e+00 4.203700000000000000e+04 1.347600000000000000e+04 3.784441434700684040e+05 1.205183944770994276e+05 3.821622354189025646e+04
5.323099999999999454e+02 9.416152035653780672e+00 4.203700000000000000e+04 1.326400000000000000e+04 3.784441434700657846e+05 1.181056859001320408e+05 3.739698294299434201e+04
5.348300000000000409e+02 9.383432700241968405e+00 4.203700000000000000e+04 1.614500000000000000e+04 3.784441434700702084e+05 1.439702819509811234e+05 3.991772324728908279e+04
5.373500000000000227e+02 9.350900374363046552e+00 4.233100000000000000e+04 1.175300000000000000e+04 3.813850071584146353e+05 1.044676806188823830e+05 3.206441684688656824e+04
5.398799999999999955e+02 9.318556222502888176e+00 4.349900000000000000e+04 1.135800000000000000e+04 3.930684384100638563e+05 1.021690055318708037e+05 3.181734428531480808e+04
5.424600000000000364e+02 9.285760530329413953e+00 4.403600000000000000e+04 1.607000000000000000e+04 3.984180095002845046e+05 1.433851100946257939e+05 4.184528934505662619e+04
5.447000000000000455e+02 9.257639359262986645e+00 4.490600000000000000e+04 1.646300000000000000e+04 4.070185353480298072e+05 1.492518330647388648e+05 4.789706666290581779e+04
5.466699999999999591e+02 9.232958396866596473e+00 4.641200000000000000e+04 1.964100000000000000e+04 4.219539216509750695e+05 1.788085134263648069e+05 6.914730754561546200e+04
5.488400000000000318e+02 9.205998984276787311e+00 4.699100000000000000e+04 1.944300000000000000e+04 4.275585676529490156e+05 1.775941567877083726e+05 6.495907752415587311e+04
5.510099999999999909e+02 9.179162911399577851e+00 4.699100000000000000e+04 1.369400000000000000e+04 4.273014921536564943e+05 1.249837058732758887e+05 3.471019387262365490e+04
5.531599999999999682e+02 9.152804468252895731e+00 4.699100000000000000e+04 1.795300000000000000e+04 4.269383855145882117e+05 1.629068433401068032e+05 5.589541566018296726e+04
5.552699999999999818e+02 9.127067673666775960e+00 4.699100000000000000e+04 1.818900000000000000e+04 4.266573029647801304e+05 1.647323794731748931e+05 4.891336513479593850e+04
5.573600000000000136e+02 9.101702181898351895e+00 4.699100000000000000e+04 1.278200000000000000e+04 4.263482121893778094e+05 1.159990672172571503e+05 3.543340626945127588e+04
5.594800000000000182e+02 9.076177729849687736e+00 4.699100000000000000e+04 1.825700000000000000e+04 4.259650996748772450e+05 1.653525616115386656e+05 6.007564333147139405e+04
5.615599999999999454e+02 9.051229863904218575e+00 4.699100000000000000e+04 1.240700000000000000e+04 4.256490068430632236e+05 1.125170445985062688e+05 3.148124557807523888e+04
5.636399999999999864e+02 9.026542249610558954e+00 4.699100000000000000e+04 1.670600000000000000e+04 4.254109369254370686e+05 1.499570401736794738e+05 4.669371325573708600e+04
5.657300000000000182e+02 9.001884438942896693e+00 4.699100000000000000e+04 1.641000000000000000e+04 4.251418579008899396e+05 1.475463321842540754e+05 4.949353552229236811e+04
5.678200000000000500e+02 8.977241599796506932e+00 4.699100000000000000e+04 1.634400000000000000e+04 4.248767800514281844e+05 1.470941993995157245e+05 4.827417741477833624e+04
5.699400000000000546e+02 8.952584278615113078e+00 4.699100000000000000e+04 1.563300000000000000e+04 4.245776922137446818e+05 1.402371855955752253e+05 4.468912453756071045e+04
