# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
1.382000000000000000e+03 6.365964098774271633e+02 8.245024895097619932e+00 1.837254408722485900e+08 2.818717225550616604e+03 6.233070561004226329e+05
1.383000000000000000e+03 6.368329979224602084e+02 8.242739179800141258e+00 1.859463646522315741e+08 2.809867623905214714e+03 6.232610425869316095e+05
1.384000000000000000e+03 6.370594996828974672e+02 8.240551968455083198e+00 1.874977636031546891e+08 2.857822724273985841e+03 6.232020252544151153e+05
1.385000000000000000e+03 6.372751204442613471e+02 8.238470790890485063e+00 1.863460809680901170e+08 3.309143285779498456e+03 6.247374761937359581e+05
1.386000000000000000e+03 6.374809122321065615e+02 8.236485356991535056e+00 1.858081294263313413e+08 2.818418905987179187e+03 6.268560984018673189e+05
1.387000000000000000e+03 6.376976760537459086e+02 8.234394989953033317e+00 1.854025839142031670e+08 2.808410688282660431e+03 6.289907253103526309e+05
1.388000000000000000e+03 6.379268847064080319e+02 8.232185639855778447e+00 1.860612830930410028e+08 2.811147567176595203e+03 6.289267065089656971e+05
1.389000000000000000e+03 6.381330337170495568e+02 8.230199465244272261e+00 1.869631430306944847e+08 2.816757239055489663e+03 6.288706900577595225e+05
1.390000000000000000e+03 6.383506123641575414e+02 8.228104096798602995e+00 1.891840668106770515e+08 2.816603696977441359e+03 6.288026700812941417e+05
1.391000000000000000e+03 6.385623473214617434e+02 8.226053585864354645e+00 1.896145945925493836e+08 2.563155417550117363e+03 6.287466536300901789e+05
1.392000000000000000e+03 6.387831219966234357e+02 8.223913788481690190e+00 1.922893629394949377e+08 3.315366214368128567e+03 6.286806342411666410e+05
1.393000000000000000e+03 6.389857956114412900e+02 8.221952502600474944e+00 1.931046176753807068e+08 3.307494865679706436e+03 6.286096133833914064e+05
1.394000000000000000e+03 6.392037559781379059e+02 8.219857222517250150e+00 1.907787683624844551e+08 3.300475884636875435e+03 6.285575981072690338e+05
1.395000000000000000e+03 6.394106590736699900e+02 8.217869118057326006e+00 1.918271909492861331e+08 3.297813416166960906e+03 6.284945795996637316e+05
1.396000000000000000e+03 6.396265822310326712e+02 8.215795255095970973e+00 1.931054504177052975e+08 3.291712322635619330e+03 6.284395634422285948e+05
1.397000000000000000e+03 6.398370597500010035e+02 8.213774593465142715e+00 1.928656206281886697e+08 3.288428989504875517e+03 6.283825466972436989e+05
1.398000000000000000e+03 6.400613394557988158e+02 8.211622400702788482e+00 1.888418097152245939e+08 3.284767802419845793e+03 6.283225290709536057e+05
1.399000000000000000e+03 6.402833071986599407e+02 8.209493383299991009e+00 1.907004905839625001e+08 2.834820583459077170e+03 6.282485073318617651e+05
1.400000000000000000e+03 6.404949561010048456e+02 8.207464256063149222e+00 1.895521389181955159e+08 3.273222725686885042e+03 6.281674835363617167e+05
1.401000000000000000e+03 6.407110517179861517e+02 8.205393419463195670e+00 1.905239492111271322e+08 2.688836823862240635e+03 6.281124673789371736e+05
