# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 9.283099999999996044e+01 2.529742948238179906e+03 6.121797881857529546e+02 3.572365271744924353e+00 1.923340780106840009e-01 2.591071263606825603e-02 2.926724862168435859e+00 1.907656581242931360e-01 5.523286841507062491e+03 1.120358464810582291e+03 2.135126355298417877e+00 2.967294458620796660e-01
0.000000000000000000e+00 5.847999999999996135e+01 6.283845472847802739e+03 2.160634546537953042e+02 4.148168654345600004e+00 8.984965715566207989e-02 2.923332908234376262e-02 1.958478059431472795e+00 1.220818770104854373e-01 9.308091130833690841e+03 3.950579671642869471e+03 1.023477864500040191e+01 8.914853389811379092e-01
0.000000000000000000e+00 6.291100000000000136e+01 3.087906872760473561e+03 9.902908338298949786e+01 6.707821568003279111e+00 4.271389191990223461e-02 3.054057275238244648e-02 1.947841961611105122e+00 1.244411697910990378e-01 2.715792993988555463e+04 3.011371361157895080e+04 2.866940751622069961e+00 5.832860594273185928e-01
0.000000000000000000e+00 6.721499999999997499e+01 6.661956518491937459e+03 4.951454169149473614e+02 2.026623928241899186e+00 2.209995662456144538e-01 4.543592875342608584e-02 2.687786086892059334e+00 2.568904087792032165e-01 2.984929556639082875e+03 8.408464780905590032e+02 1.542284122912709066e+01 7.618657846077917517e-01
0.000000000000000000e+00 6.176599999999996271e+01 4.959556548699576524e+04 4.501321971954067180e+01 1.807615388024289005e-01 6.298805853381936326e-02 6.926410011520972887e+01 3.752014367196210731e+00 8.998277176676083400e+01 3.739239598241104432e+03 1.479289260219940916e+07 1.405154283993998376e+02 2.044182983984295099e+00
0.000000000000000000e+00 6.656499999999999773e+01 1.159540539975350839e+04 3.781110456441418251e+02 9.447229196234301352e-01 1.408568054431083016e-01 2.877560107417241955e-02 3.123079040914448878e+00 3.999072894454611671e-01 6.157180590240995116e+03 1.919989721673909116e+03 3.220820689915323243e+01 9.880502449801387144e-01
0.000000000000000000e+00 6.656499999999999773e+01 8.570517034600434272e+03 1.260370152147139748e+02 1.662325479555816665e+00 6.253782195688320500e-02 3.899340719409463696e-02 2.069515139661913139e+00 2.262071809335326478e-01 9.798605587881926112e+03 8.798705240122664691e+03 2.205612316661839856e+01 1.033988422270918583e+00
0.000000000000000000e+00 6.921499999999997499e+01 1.725806844047180493e+04 3.601057577563256729e+01 3.324326620174087310e-01 7.236964388045757923e-02 1.072103853259103845e+00 3.007066616351762089e+00 5.060794901578722360e+00 2.560925701666000350e+03 9.526040070140296302e+04 5.174827734425149828e+01 1.247425149837601666e+00
0.000000000000000000e+00 7.204899999999997817e+01 3.718091948834033246e+03 2.520740304294278360e+02 1.409068045802024605e+00 1.169859160627837319e-01 2.922659710737996949e-02 2.856252944537890137e+00 3.244241658863554201e-01 5.553982947291279743e+03 2.132711458991021118e+03 9.083342348964846380e+00 5.389567772417235281e-01
0.000000000000000000e+00 6.142199999999996862e+01 1.269372796091046439e+03 2.880846062050603678e+02 5.414342828117272077e+00 1.719501234362583730e-01 3.056004643519771857e-02 2.883165481248126216e+00 2.110396293899636233e-01 4.222791507226667818e+03 1.161288210523685393e+03 4.047751933528524471e-01 1.398640322929219915e-01
