# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
6.066559366829701503e+02 8.546849781275243529e+00 1.484929999999999382e+02 5.671665684662211788e+02 1.542909842362199843e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.783749999999999432e+02 1.476433606800955431e+03 3.096305812517945499e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.962599999999997635e+01 9.068663332830259606e+03 2.724663070630579919e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.957700000000000173e+01 7.502203286590221865e+01 2.146458159940767529e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.560339999999999350e+02 6.121797881857620496e+02 1.586751482351089931e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.547589999999999577e+02 1.116327849044625054e+03 2.918759117764098619e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.957700000000000173e+01 9.202702698217336774e+01 2.205866253270501798e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.473099999999999454e+02 7.202115155126611512e+01 1.931928511539722505e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.468939999999999486e+02 2.100616920245261099e+02 1.395099548273579490e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.477499999999999432e+02 1.350396591586239765e+02 3.586880662348731127e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.958619999999999663e+02 7.202115155126611512e+01 1.678922556758564955e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.093899999999996453e+01 2.980875439205181578e+02 8.857190153433192816e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.413799999999999386e+02 2.520740304294313603e+02 7.180555302249592627e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.412199999999995725e+01 1.700499411627116615e+02 3.628347118070005477e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.107999999999992724e+01 2.904853112567733660e+03 5.185920508596888329e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.444999999999993179e+01 5.141509985743164179e+02 2.403802554740713064e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.466859999999999218e+02 7.202115155126611512e+01 1.961165050348935334e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.473099999999999454e+02 2.133926702837722405e+04 9.039820163535109417e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.476019999999999754e+02 1.260370152147157228e+02 3.423274113614239618e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.472089999999999463e+02 7.202115155126614354e+01 1.964422492217423687e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.501979999999999222e+02 7.202115155126611512e+01 1.947539538458055721e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.475199999999998965e+02 7.202115155126611512e+01 1.947410232438965449e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.093899999999996453e+01 1.270373089862610811e+02 2.369014697405111231e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.477499999999999432e+02 1.170343712708074406e+02 4.551443274590994925e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.613749999999999432e+02 8.012353110078357759e+02 2.001710445256997192e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.525159999999999627e+02 3.961163335319637099e+03 1.049603520406903997e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.310469999999999686e+02 6.481903639613949508e+02 1.044166611325051589e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.962379999999999427e+02 7.202115155126614354e+01 1.380849590482045171e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.472089999999999463e+02 9.902908338299093316e+01 2.627987554533524781e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.466859999999999218e+02 9.002643943908265101e+01 2.354342402937930288e+33
