# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
5.522165592840865429e+02 9.164359902645628608e+00 1.203449999999999704e+02 7.922326670639175745e+02 2.941738511234711776e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.062700000000000955e+01 1.206354288483692926e+03 1.270880740823192859e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.273299999999999841e+02 1.350396591586223281e+02 4.571842484441993746e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.309759999999999991e+02 9.902908338298966839e+01 3.221964957056972306e+33
0.000000000000000000e+00 0.000000000000000000e+00 6.123199999999997090e+01 6.481903639613872201e+02 5.464843080250590435e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.317549999999999955e+02 1.017298765661621474e+03 3.273998254102520218e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.217049999999999841e+02 2.430713864855203212e+02 8.733329797239830110e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.236169999999999618e+02 1.350396591586223281e+02 4.732506935061965799e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.247969999999999686e+02 7.202115155126520563e+01 2.500863493699149542e+33
0.000000000000000000e+00 0.000000000000000000e+00 6.225099999999997635e+01 1.530449470464386366e+02 1.189213694589736976e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.542799999999999727e+01 3.030890127782412264e+02 7.079696871051801193e+34
0.000000000000000000e+00 0.000000000000000000e+00 7.780099999999998772e+01 8.102379549517340251e+01 5.423408812366371993e+33
0.000000000000000000e+00 0.000000000000000000e+00 7.786899999999997135e+01 5.311559926905812290e+02 3.356232291978685356e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.478429999999999609e+02 5.131507048027648352e+02 1.399184081940469193e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.090599999999994907e+01 1.050308460122618044e+02 6.054620101702068989e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.052699999999992997e+01 1.190349588138966652e+02 8.658791643792560364e+34
0.000000000000000000e+00 0.000000000000000000e+00 4.324299999999999500e+01 3.961163335319586736e+02 5.012390945362287995e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.293009999999999877e+02 5.851718563540301830e+02 1.940498702296680398e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.310070000000000050e+02 1.512444182576569801e+03 4.923900652020524084e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.314289999999999736e+02 8.732564625590910055e+02 2.826293721792930393e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.296809999999999832e+02 7.832300231200096050e+02 2.679017575336933644e+34
0.000000000000000000e+00 0.000000000000000000e+00 6.548300000000000409e+01 2.250660985977038422e+02 1.752646376668331986e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.942049999999999841e+02 2.520740304294282055e+02 4.888302028177381354e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.957459999999999809e+02 4.951454169149482709e+02 9.531555808658471440e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.310070000000000050e+02 8.102379549517338830e+01 2.637803920725281254e+33
0.000000000000000000e+00 0.000000000000000000e+00 5.623099999999999454e+01 9.902908338298976787e+01 8.572510961648358668e+33
0.000000000000000000e+00 0.000000000000000000e+00 5.623099999999999454e+01 1.890555228220713673e+02 1.667855787026579227e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.963799999999997681e+01 7.202115155126523405e+01 5.322222359563662123e+33
0.000000000000000000e+00 0.000000000000000000e+00 5.963799999999997681e+01 4.321269093075914043e+02 3.703642306755031789e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.219230000000000018e+02 7.202115155126523405e+01 2.582071632701706888e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.321856636166612589e+02 1.115279713009918333e+36
0.000000000000000000e+00 0.000000000000000000e+00 2.640999999999962711e+00 7.702262040899199746e+01 1.306776951259095057e+35
0.000000000000000000e+00 0.000000000000000000e+00 6.511500000000000909e+01 8.202408926671874667e+01 2.496599100219538268e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.431000000000040018e+00 9.902908338298968260e+01 1.893534186069837127e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.165999999999939973e+00 1.870549352789805937e+02 3.243863354912166287e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.431000000000040018e+00 8.802585189599084003e+01 1.473437093810729571e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.212999999999965439e+00 2.980875439205144630e+02 4.697155864077118267e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.697000000000002728e+00 1.660487660765281532e+02 2.905888629131550740e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.697000000000002728e+00 1.040305522407164460e+02 1.136167575730316840e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.211479999999999677e+02 9.002643943908154256e+01 5.418381804795997364e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.431000000000040018e+00 7.702262040899198325e+01 1.062822241106515409e+35
