# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
2.250000000000000000e+02 4.188423606035451030e+02 1.122013813009298033e+01 9.264341636553333700e+07 1.347616452077523491e+03 4.063293329394354078e+04
2.270000000000000000e+02 4.198744059894092970e+02 1.120009116197159926e+01 9.290906116711328924e+07 1.318745676419350730e+03 4.054290685450431192e+04
2.290000000000000000e+02 4.209324586531744785e+02 1.117967678833587897e+01 9.401494297431966662e+07 1.304620546026988904e+03 4.041486925174685894e+04
2.310000000000000000e+02 4.219391435567993085e+02 1.116032055103901399e+01 9.415817465416836739e+07 1.294454274818609747e+03 4.025782312961411662e+04
2.330000000000000000e+02 4.229666974936835686e+02 1.114060900856607716e+01 9.510666816200640798e+07 1.312123225550551751e+03 4.013278640817153791e+04
2.350000000000000000e+02 4.240001193496041196e+02 1.112090251281789222e+01 9.555468353269481659e+07 1.261121907580748712e+03 4.001375144935685967e+04
2.370000000000000000e+02 4.244610320688147453e+02 1.111214170768315768e+01 9.580117526080869138e+07 1.229881160729666135e+03 3.997774087358199176e+04
2.390000000000000000e+02 4.248712694865188269e+02 1.110436556343520209e+01 9.593108306346212327e+07 1.224178313913443617e+03 3.994373088534930139e+04
2.410000000000000000e+02 4.253030588315862701e+02 1.109616550150787440e+01 9.576120362922263145e+07 1.226078078500025867e+03 3.989771737185821257e+04
2.430000000000000000e+02 4.257336587521822366e+02 1.108799908467865336e+01 9.632330469839753211e+07 1.218998061505835722e+03 3.985270415213883098e+04
2.450000000000000000e+02 4.262208752889154084e+02 1.107877220857372258e+01 9.540478991424930096e+07 1.198915997562559824e+03 3.981469298881976283e+04
2.470000000000000000e+02 4.266960571201506127e+02 1.106981833155591666e+01 9.577702573339103162e+07 1.224959536923258383e+03 3.975567565629837918e+04
2.490000000000000000e+02 4.271486837269427497e+02 1.106132612556969619e+01 9.676215990351517498e+07 1.213655375793994153e+03 3.970966214280750137e+04
2.510000000000000000e+02 4.276236699443195448e+02 1.105242724796593734e+01 9.668471486731737852e+07 1.217367903868091162e+03 3.965964745423004933e+04
2.530000000000000000e+02 4.280746505532640072e+02 1.104394540059764829e+01 9.706944182133030891e+07 1.249584014156521789e+03 3.961863540959675447e+04
2.550000000000000000e+02 4.285220939114113889e+02 1.103553015743070809e+01 9.957433073403608799e+07 1.554340110410929356e+03 4.338474145946464705e+04
2.570000000000000000e+02 4.289430404344549856e+02 1.102766968219212451e+01 1.042759938993100077e+08 1.858511994795862847e+03 4.333872794597384200e+04
2.590000000000000000e+02 4.293824646599250059e+02 1.101947511255257872e+01 9.813035554300312698e+07 1.229937376920829820e+03 5.195325790652314026e+04
2.610000000000000000e+02 4.298246823069983407e+02 1.101123971505807830e+01 9.807622729189668596e+07 1.221654080579764013e+03 5.191924791829017340e+04
2.630000000000000000e+02 4.302522121933307062e+02 1.100328856920170040e+01 1.047548207360151857e+08 1.853155719106989409e+03 5.188823881137247372e+04
2.650000000000000000e+02 4.304979797113389850e+02 1.099872257976741352e+01 1.052311493457435220e+08 1.848688360527313307e+03 5.583439774011798727e+04
2.670000000000000000e+02 4.309254135859838470e+02 1.099082783708979427e+01 1.055176127054422200e+08 1.842679326770428588e+03 5.579338569548508531e+04
2.690000000000000000e+02 4.313636744373937404e+02 1.098269770031827441e+01 1.014538301608908474e+08 1.478769661395742332e+03 5.575537453216593713e+04
2.710000000000000000e+02 4.317941896328272833e+02 1.097472197974730612e+01 1.061871375345041305e+08 1.908101347607487014e+03 5.572136454393417807e+04
2.730000000000000000e+02 4.322246412380868037e+02 1.096675804516386954e+01 1.018926853660114259e+08 1.486342973109273316e+03 5.568135279307272140e+04
2.750000000000000000e+02 4.326644008028055737e+02 1.095863838953744640e+01 1.026829578321529627e+08 1.448578760352845848e+03 5.563233839826612530e+04
2.770000000000000000e+02 4.330891121109795563e+02 1.095085171585554029e+01 1.031426315953903943e+08 1.441693727325055079e+03 5.557432135951724194e+04
2.790000000000000000e+02 4.335134912254030723e+02 1.094308125448014835e+01 1.083422746708359867e+08 1.884030651097141117e+03 5.551530402699604747e+04
2.810000000000000000e+02 4.339404049728673840e+02 1.093527457227076916e+01 1.079259035084824860e+08 1.883646630006860960e+03 5.545328581315920746e+04
2.830000000000000000e+02 4.343706633817139391e+02 1.092737069294648400e+01 1.061613225224385560e+08 1.901163961342494304e+03 5.537726348652270826e+04
2.850000000000000000e+02 4.347829363246971752e+02 1.091980532633208867e+01 1.066817864753761292e+08 1.895985648642513752e+03 5.528823734085417527e+04
2.870000000000000000e+02 4.352066693269355255e+02 1.091208022381498921e+01 1.068541641365906745e+08 1.890729322312076420e+03 5.878126319109110773e+04
2.890000000000000000e+02 4.356254779170599249e+02 1.090445473150362332e+01 1.071764354162514210e+08 1.902060237276707312e+03 5.870624115822554450e+04
2.910000000000000000e+02 4.360571545588477989e+02 1.089660515377741135e+01 1.077643514974915683e+08 1.895947712738514156e+03 5.862621765650185989e+04
2.930000000000000000e+02 4.364740506677467238e+02 1.088903416410841629e+01 1.079692061093678474e+08 1.889181096068305351e+03 5.855019532986406557e+04
2.950000000000000000e+02 4.368820431568989306e+02 1.088164293279332995e+01 1.082473420458194017e+08 1.883662695333698593e+03 5.848017476585626719e+04
2.970000000000000000e+02 4.373127619723113071e+02 1.087387532764002351e+01 1.085254779822698832e+08 1.877322061022843627e+03 5.841415537693411898e+04
2.990000000000000000e+02 4.377326817446216864e+02 1.086627203586317947e+01 1.090084685305974036e+08 1.873036843421677986e+03 5.834713569424043817e+04
3.010000000000000000e+02 4.381395532553451062e+02 1.085891428531922820e+01 1.090101340152465850e+08 1.866548271755997575e+03 6.394077846472195961e+04
