# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
5.977213367475233099e+02 8.641746041237615472e+00 2.004000000000019099e+00 7.502203286590086861e+01 7.070914695585783758e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.543999999999982720e+00 6.691965331638356247e+02 1.756345840108069500e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.470989999999999895e+02 5.941745002979347419e+02 1.627585962574675416e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.004000000000019099e+00 1.183347531738144198e+03 2.597684356970334871e+36
0.000000000000000000e+00 0.000000000000000000e+00 5.396900000000005093e+01 3.466017918404621014e+03 3.392038161080856452e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.890439999999999827e+02 8.102379549517294777e+01 1.888517945591898313e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.475350000000000250e+02 4.501321971954051833e+02 1.222507595301718914e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.372909999999999968e+02 7.202115155126483614e+01 2.064395205892520200e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.672069999999999936e+02 7.202115155126483614e+01 1.864683531331585224e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.185699999999997090e+01 1.590467096757098773e+02 3.127721761575809882e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.890700000000003911e+01 1.647483841735183887e+03 1.444965280716340374e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.875180000000000291e+02 7.202115155126485035e+01 1.564650281785317688e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.498679999999999950e+02 7.202115155126485035e+01 1.839609788845154763e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.874189999999999827e+02 9.902908338298917101e+01 2.417097244456143803e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.486580000000000439e+02 5.311559926905781595e+02 1.438460473276690053e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.419619999999999891e+02 1.170343712708053943e+02 3.280386327448919986e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.386670000000000300e+02 2.795120885829157487e+04 9.820425567661870948e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.185699999999997090e+01 7.302144532281018030e+01 9.303786383311237231e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.503940000000000055e+02 7.202115155126483614e+01 1.884515861328929694e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.408269999999999982e+02 8.498495883049254189e+03 2.434879121611208311e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.524399999999999977e+02 7.922326670639134818e+02 2.106117865636730561e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.337640000000000100e+02 2.898851349938409840e+03 9.134157082856906724e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.418949999999999818e+02 7.202115155126483614e+01 2.046280251100079760e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.418639999999999759e+02 8.408469443610169037e+03 2.387969526281565692e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.418639999999999759e+02 7.202115155126483614e+01 2.056725796724508873e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.412629999999999768e+02 1.080317273268972826e+02 3.037131115753115510e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.418949999999999818e+02 1.370402467017122774e+02 1.404076958693263585e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.213099999999997181e+01 2.201646591171304863e+03 5.845912420495205943e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.408269999999999982e+02 9.002643943908107360e+01 2.448260575768834685e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.377509999999999764e+02 9.902908338298917101e+01 5.266539582453881748e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.412629999999999768e+02 9.002643943908103097e+01 2.550743481021127976e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.875180000000000291e+02 9.902908338298911417e+01 2.424545804273884031e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.595480000000000018e+02 9.902908338298914259e+01 7.541270677839198147e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.383750000000000000e+02 2.160634546537945369e+02 6.271394938883900751e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.383750000000000000e+02 7.202115155126483614e+01 1.926995931298982222e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.383750000000000000e+02 8.102379549517294777e+01 2.297945236048965839e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.518700000000001182e+01 8.402467680980899445e+01 1.455785263030421737e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.383750000000000000e+02 7.202115155126483614e+01 2.001280457861238692e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.435810000000000173e+02 3.943158047431751584e+03 1.110421404608400918e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.435810000000000173e+02 7.202115155126483614e+01 2.031617438831001969e+33
0.000000000000000000e+00 0.000000000000000000e+00 1.435810000000000173e+02 9.002643943908107360e+01 2.535128630497928131e+33
0.000000000000000000e+00 0.000000000000000000e+00 4.195000000000050022e+00 1.800528788781621188e+02 4.469639589532058382e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.666399999999998727e+01 7.902320795208224524e+01 2.734600592940266944e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.666399999999998727e+01 3.239951526035371444e+03 1.283571762913517478e+36
0.000000000000000000e+00 0.000000000000000000e+00 4.225000000000022737e+00 3.841128082734126110e+02 7.908739719552101210e+35
0.000000000000000000e+00 0.000000000000000000e+00 5.514999999999986358e+00 4.731389539409481131e+02 7.586514333656890011e+35
0.000000000000000000e+00 0.000000000000000000e+00 4.225000000000022737e+00 8.952629255330840579e+02 2.366117422888472409e+36
0.000000000000000000e+00 0.000000000000000000e+00 5.514999999999986358e+00 3.861133958165033278e+02 6.335585486993097404e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.366709999999999923e+02 9.002643943908105939e+01 2.613005077386393300e+33
0.000000000000000000e+00 0.000000000000000000e+00 2.576999999999998181e+01 4.099203875792823055e+03 8.351943577790939124e+35
0.000000000000000000e+00 0.000000000000000000e+00 1.433999999999999773e+02 4.501321971954049559e+02 1.255585876215731737e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.452899999999999636e+01 9.302732075371706344e+01 2.184961014228881972e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.459000000000003183e+01 3.390995885538719108e+02 8.323433244632089017e+34
0.000000000000000000e+00 0.000000000000000000e+00 1.694399999999999977e+02 1.512444182576561161e+03 3.550661586925589608e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.969000000000050932e+00 2.333685369015290689e+03 2.183752723904491689e+36
0.000000000000000000e+00 0.000000000000000000e+00 1.380310000000000059e+02 7.292141594565565583e+02 2.155187298437021588e+34
0.000000000000000000e+00 0.000000000000000000e+00 8.969000000000050932e+00 8.802585189599035687e+01 8.360697481019495967e+34
