# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 1.311500000000000909e+01 6.731977082500217875e+03 3.821122207303281471e+02 7.880494629724866584e+00 7.037006116487372342e-02 1.549775016359193971e-02 2.100881765967146819e+00 8.011803898062536122e-02 3.377615353730199422e+04 1.052375984496692581e+04 3.346294308721454502e+00 5.617863514375880385e-01
0.000000000000000000e+00 6.627899999999999636e+01 2.980575351073834827e+04 3.906147177884637131e+03 8.011641556846575085e+00 2.660108966614660453e+00 6.993159489202734891e-01 1.635178352783978495e+00 6.869598031582203612e-01 1.772300320101083457e+02 5.761016116010584653e+01 5.015851372033637290e+01 1.897665418901610934e+01
0.000000000000000000e+00 1.752400000000000091e+01 1.558057578559020840e+04 5.761692124101281252e+02 1.079583739441451362e+00 1.236534862473637891e-01 1.877765819615414070e-02 2.974445556399420987e+00 2.504755206300132153e-01 1.318301644605448382e+04 2.979934757037392046e+03 4.180745216838800360e+01 1.154039289429391379e+00
0.000000000000000000e+00 3.418799999999998818e+01 4.814413922447826735e+03 7.532212099736569826e+02 3.439296953224499021e+00 1.432712042074825165e-01 1.750383746826517789e-02 2.701906243952987285e+00 1.281097203302933585e-01 1.391839488180593253e+04 2.573031840638484027e+03 5.188811783991173598e+00 4.934202729506079743e-01
0.000000000000000000e+00 4.879199999999997317e+01 3.702087248489403919e+03 7.022062276248434500e+02 3.330389138190609000e+00 2.256786298515437716e-01 2.925342953559786907e-02 2.849951512761406125e+00 1.714939744576699232e-01 5.098324190167747474e+03 9.803508038339391533e+02 4.749510303995561067e+00 4.546819237524032387e-01
0.000000000000000000e+00 2.895999999999998309e+01 5.316561395763587825e+03 1.023300528290905845e+03 1.131821544626518161e+01 2.686903535810272747e-01 2.851203951723922658e-02 2.474759186528401322e+00 9.900551141103937358e-02 5.711359702633737470e+03 8.293032100527449302e+02 1.089977958492818422e+00 4.645041139200374314e-01
0.000000000000000000e+00 2.249299999999999500e+01 5.468005872776232718e+04 6.791994708793005202e+02 7.290242611454706978e-01 1.964184320807624562e-01 3.085322095868586051e-02 3.243356601249925308e+00 4.349097574697873836e-01 5.627386608293661993e+03 1.274323576564301675e+03 1.577327311381849313e+02 2.228484296086384653e+00
0.000000000000000000e+00 4.655899999999996908e+01 2.799822266555473561e+03 5.401586366344949965e+02 1.007339140462670812e+01 1.123770638282111933e-01 1.667838173930241349e-02 2.484085071166875824e+00 1.074260423925481739e-01 1.493017156304712807e+04 3.342492054373746214e+03 4.216163638723313678e-01 2.339239435281920687e-01
0.000000000000000000e+00 2.252600000000001046e+01 3.954461367050525587e+04 6.021768504703080680e+02 7.299931568523272407e-01 1.777540633755225474e-01 2.725809895743292605e-02 3.402928504271431898e+00 4.583504894000285379e-01 6.474393522251603827e+03 1.483469565383419422e+03 1.049543753136681659e+02 1.811494802406882654e+00
0.000000000000000000e+00 1.444099999999997408e+01 4.653366625229027704e+03 2.500734428863404730e+02 1.736889228688896836e+01 1.047684770743139704e-01 3.282891618438829595e-02 1.848009212417694558e+00 9.722549940376086497e-02 8.938556037667272903e+03 3.528315723652903671e+03 1.414262030685760507e+00 8.272954415917798121e-01
0.000000000000000000e+00 1.772699999999997544e+01 6.404981048582973744e+04 8.162397175810150429e+02 8.158119096929790093e-01 2.255998522005084606e-01 3.367428394724168716e-02 3.234056486322816504e+00 4.220758802914711394e-01 5.569131720378940372e+03 1.173861336739189710e+03 1.716549481734320750e+02 2.367373136158434033e+00
0.000000000000000000e+00 2.688700000000000045e+01 2.466524381876612460e+04 3.330978259246056155e+02 1.212822689056658243e+00 1.257959333418956493e-01 3.045422142881719710e-02 2.377370198122247036e+00 2.232650255979631015e-01 7.696322543611741821e+03 2.372077408886210378e+03 7.009515834325758021e+01 1.593757414067317191e+00
0.000000000000000000e+00 1.738299999999998136e+01 2.050602231667988235e+03 5.701674497808562592e+02 2.573231658907104258e+00 1.903292583727574372e-01 2.839762695891307615e-02 3.221780241522415711e+00 2.532353466319868240e-01 4.675882159746142861e+03 1.119717951444867595e+03 2.123476201108108086e+00 2.720369471624038415e-01
