# t_myr, z, gc_ages_per_snapshot, gc_masses_per_snapshot, gc_lums_per_snapshot
4.521998608715188652e+02 1.061196045873679594e+01 2.898799999999999955e+01 8.812588127314518260e+02 1.797804387796288973e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.856099999999997863e+01 2.220652172830673408e+02 4.552094210906737675e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.886299999999999955e+01 7.502203286590112441e+01 1.507376451432228406e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.898799999999999955e+01 7.302144532281040767e+01 1.500878007948472430e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.898799999999999955e+01 8.402467680980925024e+01 1.683613926329214616e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.898799999999999955e+01 5.331565802336704110e+02 1.084995641412160356e+35
0.000000000000000000e+00 0.000000000000000000e+00 3.173799999999999955e+01 1.412414805422031804e+03 2.520697442998817581e+35
0.000000000000000000e+00 0.000000000000000000e+00 3.040399999999999636e+01 2.733802877633437220e+03 5.090045176890042697e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.972100000000000364e+01 5.111501172596728679e+02 1.021381593299004116e+35
0.000000000000000000e+00 0.000000000000000000e+00 9.572899999999998499e+01 7.382168034004666879e+02 3.585877394080796146e+34
0.000000000000000000e+00 0.000000000000000000e+00 5.390299999999996317e+01 5.401586366344880616e+02 5.298479402511349845e+34
0.000000000000000000e+00 0.000000000000000000e+00 2.928399999999999181e+01 1.030302584691708944e+03 2.048561684105643923e+35
0.000000000000000000e+00 0.000000000000000000e+00 2.892799999999999727e+01 1.940569916797975907e+02 3.973921599154459122e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.173799999999999955e+01 9.302732075371740450e+01 1.636816521427803477e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.117599999999998772e+01 1.920564041367068171e+02 3.550351411171022952e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.117599999999998772e+01 8.402467680980922182e+01 1.521025035518412613e+34
0.000000000000000000e+00 0.000000000000000000e+00 3.304399999999998272e+01 3.181934487285753676e+03 5.533274270337496065e+35
