# 		ID		CurrentAges[Yr]		X[pc]		Y[pc]		Z[pc]		mass[Msun]		t_sim[Myr]
2.950000000000000000e+02 4.451000000000021828e+00 4.280850786208893055e+01 -5.733663656362821115e+01 -7.910079801273151467e+00 1.000293771545360499e+01 3.625414570302883135e+02
3.910000000000000000e+02 4.451000000000021828e+00 5.828325247573706491e+01 -7.417641823849163529e+01 -7.942945929781060954e+00 1.000293771545360499e+01 0.000000000000000000e+00
2.240000000000000000e+02 4.451000000000021828e+00 5.816888780557756888e+01 -7.158118817737086204e+01 -7.531548811583113512e+00 1.000293771545360499e+01 0.000000000000000000e+00
2.340000000000000000e+02 4.451000000000021828e+00 5.869190538003270063e+01 -6.959923754732609780e+01 -5.289349495077936503e+00 1.000293771545360499e+01 0.000000000000000000e+00
1.970000000000000000e+02 4.451000000000021828e+00 4.786561299274639936e+01 -6.905059538948179920e+01 -7.999148785103987080e+00 1.000293771545360499e+01 0.000000000000000000e+00
2.150000000000000000e+02 4.451000000000021828e+00 5.621538100375296665e+01 -6.449398524638677088e+01 -6.700941337909415374e+00 1.000293771545360499e+01 0.000000000000000000e+00
2.130000000000000000e+02 4.451000000000021828e+00 4.744187214823539023e+01 -6.197748962994924682e+01 -8.025949061294690878e+00 1.000293771545360499e+01 0.000000000000000000e+00
3.650000000000000000e+02 4.451000000000021828e+00 4.283092515842101022e+01 -5.822113383523851837e+01 -6.493655563896133742e+00 1.000293771545360499e+01 0.000000000000000000e+00
3.610000000000000000e+02 4.451000000000021828e+00 4.300815527432381913e+01 -5.861582065291301546e+01 -7.429412385557564669e+00 1.000293771545360499e+01 0.000000000000000000e+00
1.740000000000000000e+02 4.451000000000021828e+00 5.889223750700845272e+01 -6.659394007342750399e+01 -1.735253403740281541e+01 1.000293771545360499e+01 0.000000000000000000e+00
3.830000000000000000e+02 4.451000000000021828e+00 5.763216561298788321e+01 -7.462431236177938843e+01 -1.093876153448737121e+01 1.000293771545360499e+01 0.000000000000000000e+00
