# 		ID		CurrentAges[Yr]		X[pc]		Y[pc]		Z[pc]		mass[Msun]		t_sim[Myr]
3.260000000000000000e+02 1.162400000000002365e+01 7.983110221325911482e+01 -1.174730227454254390e+02 -1.693474581686580294e+01 1.000293771545354105e+01 3.697141829157897632e+02
3.780000000000000000e+02 1.162400000000002365e+01 8.532958033498239558e+01 -1.181447952957181258e+02 -1.365935878489444733e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.790000000000000000e+02 1.162400000000002365e+01 8.532958033498239558e+01 -1.181447952957181258e+02 -1.365935878489444733e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.410000000000000000e+02 1.162400000000002365e+01 7.690100307084497899e+01 -1.074361096498047203e+02 -1.300245843296657711e+01 1.000293771545354105e+01 0.000000000000000000e+00
1.830000000000000000e+02 1.162400000000002365e+01 8.947315981834393028e+01 -1.157823892546746691e+02 -1.198289565680053315e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.050000000000000000e+02 1.162400000000002365e+01 7.968234422994764543e+01 -1.150406065195883656e+02 -1.179764360058039152e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.070000000000000000e+02 1.162400000000002365e+01 9.100175133865033672e+01 -1.196685360997406207e+02 -1.101131945141157331e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.550000000000000000e+02 1.162400000000002365e+01 9.195209361294769224e+01 -1.153243490178135175e+02 -1.039978779832203415e+01 1.000293771545354105e+01 0.000000000000000000e+00
1.800000000000000000e+02 1.162400000000002365e+01 8.825088763891442056e+01 -1.164885483254711573e+02 -1.036155146085055989e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.820000000000000000e+02 1.162400000000002365e+01 8.360506202478987348e+01 -1.077536366008618529e+02 -2.166016555825348888e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.530000000000000000e+02 1.162400000000002365e+01 8.364029130607067941e+01 -1.121643011822102238e+02 -1.946647467304271828e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.680000000000000000e+02 1.162400000000002365e+01 8.428099387191029734e+01 -1.098268238603045859e+02 -1.879971160332661739e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.800000000000000000e+02 1.162400000000002365e+01 8.601975223627289324e+01 -1.134261347325311675e+02 -1.704253734822594524e+01 9.002643943908188007e+00 0.000000000000000000e+00
1.850000000000000000e+02 1.162400000000002365e+01 8.807950755712005275e+01 -1.097494164662149529e+02 -1.669473189259698387e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.400000000000000000e+02 1.162400000000002365e+01 8.201306532966320617e+01 -1.134534702044048373e+02 -1.223561551451355633e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.850000000000000000e+02 1.162400000000002365e+01 8.026176736799217792e+01 -1.086723922924293788e+02 -1.144066597398263418e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.510000000000000000e+02 1.162400000000002365e+01 9.059977576666977939e+01 -1.133962337312744921e+02 -1.095766898550625257e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.520000000000000000e+02 1.162400000000002365e+01 9.059977576666977939e+01 -1.133962337312744921e+02 -1.095766898550625257e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.160000000000000000e+02 1.162400000000002365e+01 8.522399390726120316e+01 -1.132500371801950081e+02 -1.429728244148776994e+01 1.000293771545354105e+01 0.000000000000000000e+00
1.870000000000000000e+02 1.162400000000002365e+01 8.317437415143889723e+01 -1.104215650792926908e+02 -1.297957032482337780e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.270000000000000000e+02 1.162400000000002365e+01 8.234530477461802889e+01 -1.102718990966504720e+02 -1.264990177541158545e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.860000000000000000e+02 1.162400000000002365e+01 8.257330115270232795e+01 -1.116667421549303327e+02 -1.335577246364885795e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.020000000000000000e+02 1.162400000000002365e+01 8.509023817154587732e+01 -1.108137359774185313e+02 -1.292353891012078826e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.030000000000000000e+02 1.162400000000002365e+01 8.327686070122884132e+01 -1.080089977906050933e+02 -1.583946912731958179e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.890000000000000000e+02 1.162400000000002365e+01 8.455442020945621096e+01 -1.090384807991042351e+02 -1.087329173506724977e+01 1.000293771545354105e+01 0.000000000000000000e+00
1.790000000000000000e+02 1.162400000000002365e+01 8.339568955938322858e+01 -1.075968983487440624e+02 -1.444460342166586919e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.990000000000000000e+02 1.162400000000002365e+01 8.500605139765308138e+01 -1.111039545254314334e+02 -1.189173953968031405e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.190000000000000000e+02 1.162400000000002365e+01 8.205308050296045508e+01 -1.113772658602438099e+02 -1.536961037051879941e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.640000000000000000e+02 1.162400000000002365e+01 8.562107617857292041e+01 -1.088530362976545547e+02 -1.475770738269635984e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.000000000000000000e+02 1.162400000000002365e+01 8.536782105561064782e+01 -1.082222164479747164e+02 -1.475747936650336634e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.280000000000000000e+02 1.162400000000002365e+01 8.407641236734943391e+01 -1.106447218642259287e+02 -1.666639673626237084e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.230000000000000000e+02 1.162400000000002365e+01 8.560247720584521858e+01 -1.098944948986484889e+02 -1.618939012910135489e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.610000000000000000e+02 1.162400000000002365e+01 8.377993303696779037e+01 -1.097424278496169023e+02 -1.624473077460421422e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.700000000000000000e+02 1.162400000000002365e+01 8.356834557426410015e+01 -1.102487430781131934e+02 -1.386511403138409015e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.440000000000000000e+02 1.162400000000002365e+01 8.368069222207887492e+01 -1.104368312397912177e+02 -1.380439187872193330e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.490000000000000000e+02 1.162400000000002365e+01 8.364933609863666675e+01 -1.104821397021910769e+02 -1.364242690786614709e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.890000000000000000e+02 1.162400000000002365e+01 8.387947296694190413e+01 -1.097570821367081066e+02 -1.376240012657071077e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.950000000000000000e+02 1.162400000000002365e+01 8.422396793176369556e+01 -1.096759025419328708e+02 -1.393906384328023584e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.920000000000000000e+02 1.162400000000002365e+01 8.383381425228463968e+01 -1.100942129900401909e+02 -1.348456198843328124e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.900000000000000000e+02 1.162400000000002365e+01 8.381749944371442496e+01 -1.097408795010822047e+02 -1.346329637185612782e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.870000000000000000e+02 1.162400000000002365e+01 8.410577715885833072e+01 -1.105206890292189996e+02 -1.340861133208083800e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.500000000000000000e+02 1.162400000000002365e+01 8.452509596405212733e+01 -1.106097741299871018e+02 -1.416529677940280862e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.440000000000000000e+02 1.162400000000002365e+01 8.467254485634573768e+01 -1.106381444726496142e+02 -1.418808048164528657e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.630000000000000000e+02 1.162400000000002365e+01 8.291516129052931205e+01 -1.095763508871636844e+02 -1.390044182013422791e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.380000000000000000e+02 1.162400000000002365e+01 8.440098519278259914e+01 -1.095966617318629517e+02 -1.414309187849980631e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.070000000000000000e+02 1.162400000000002365e+01 8.428763769548125140e+01 -1.096384534780605549e+02 -1.432415904315582900e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.350000000000000000e+02 1.162400000000002365e+01 8.397252880766880878e+01 -1.106412825231878543e+02 -1.398251128489265405e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.310000000000000000e+02 1.162400000000002365e+01 8.396097758369475628e+01 -1.095744478809767628e+02 -1.428725359203009226e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.870000000000000000e+02 1.162400000000002365e+01 8.385806829246654104e+01 -1.102429355078129447e+02 -1.399138056566485666e+01 9.002643943908188007e+00 0.000000000000000000e+00
3.220000000000000000e+02 1.162400000000002365e+01 8.443092279680611512e+01 -1.103033584640563731e+02 -1.385261598603947952e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.860000000000000000e+02 1.162400000000002365e+01 8.260590640272796747e+01 -1.107220566468255356e+02 -1.435361874060282972e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.390000000000000000e+02 1.162400000000002365e+01 8.456695600035527605e+01 -1.109822770335723021e+02 -1.424521243686113436e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.660000000000000000e+02 1.162400000000002365e+01 8.462474882326945647e+01 -1.109126512866526895e+02 -1.419476104511758763e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.510000000000000000e+02 1.162400000000002365e+01 8.412068366556071908e+01 -1.110095681706398665e+02 -1.433419315767287294e+01 1.000293771545354105e+01 0.000000000000000000e+00
1.960000000000000000e+02 1.162400000000002365e+01 8.299546466473552186e+01 -1.094937006050236903e+02 -1.469476782526457370e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.900000000000000000e+02 1.162400000000002365e+01 8.403937386341706883e+01 -1.094343795330470357e+02 -1.435742619330088843e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.390000000000000000e+02 1.162400000000002365e+01 8.426355684754312847e+01 -1.099675454044302114e+02 -1.473526834973046640e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.260000000000000000e+02 1.162400000000002365e+01 8.423036592133242095e+01 -1.099053026243783364e+02 -1.456530857051530070e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.690000000000000000e+02 1.162400000000002365e+01 8.427477097964320762e+01 -1.100295102523553368e+02 -1.458106346380431440e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.760000000000000000e+02 1.162400000000002365e+01 8.415392836744463523e+01 -1.100904433506402142e+02 -1.455009524942776444e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.300000000000000000e+02 1.162400000000002365e+01 8.418183226847025935e+01 -1.100791281796417991e+02 -1.447284687722131125e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.450000000000000000e+02 1.162400000000002365e+01 8.441103232828358216e+01 -1.098138887684974918e+02 -1.452371562035779817e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.480000000000000000e+02 1.162400000000002365e+01 8.437892406321049066e+01 -1.096335552166638934e+02 -1.440184215957100378e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.590000000000000000e+02 1.162400000000002365e+01 8.434759185594526798e+01 -1.092267900590949381e+02 -1.468290979987754774e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.670000000000000000e+02 1.162400000000002365e+01 8.434224228527297385e+01 -1.093276561280073338e+02 -1.450972377451140360e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.180000000000000000e+02 1.162400000000002365e+01 8.303802362315298069e+01 -1.112578446522305313e+02 -1.467022558104541297e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.470000000000000000e+02 1.162400000000002365e+01 8.364958493889101021e+01 -1.110388661208096437e+02 -1.474663789641708966e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.640000000000000000e+02 1.162400000000002365e+01 8.350855365607937131e+01 -1.109674685292477108e+02 -1.467371280076666196e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.360000000000000000e+02 1.162400000000002365e+01 8.398031901730377058e+01 -1.107529063996313425e+02 -1.454556128710450302e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.710000000000000000e+02 1.162400000000002365e+01 8.448678370162426177e+01 -1.112639062335387763e+02 -1.456621883791913419e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.580000000000000000e+02 1.162400000000002365e+01 8.502060409360154836e+01 -1.113856761752692250e+02 -1.428060225159339502e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.100000000000000000e+02 1.162400000000002365e+01 8.497671980731615804e+01 -1.090856336618354305e+02 -1.466589041805677063e+01 9.002643943908188007e+00 0.000000000000000000e+00
2.600000000000000000e+02 1.162400000000002365e+01 8.382906939931599766e+01 -1.102230836453330625e+02 -1.513214658423983039e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.210000000000000000e+02 1.162400000000002365e+01 8.366381361748541678e+01 -1.094303490234424459e+02 -1.500074057471669065e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.350000000000000000e+02 1.162400000000002365e+01 8.334806518144989695e+01 -1.102788517407650914e+02 -1.509699050540408471e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.970000000000000000e+02 1.162400000000002365e+01 8.364872458453824322e+01 -1.100405991505810874e+02 -1.482682430229504966e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.090000000000000000e+02 1.162400000000002365e+01 8.412613924368365304e+01 -1.099772492197617169e+02 -1.514120796225759236e+01 1.000293771545354105e+01 0.000000000000000000e+00
2.050000000000000000e+02 1.162400000000002365e+01 8.417121334731626803e+01 -1.100420810978014003e+02 -1.486407939124967825e+01 1.000293771545354105e+01 0.000000000000000000e+00
3.720000000000000000e+02 1.162400000000002365e+01 8.468833675268612637e+01 -1.106036576981675523e+02 -1.491929508373629076e+01 1.000293771545354105e+01 0.000000000000000000e+00
