# Age[Myr] 			 Masses[Msun]			 CoreMass[Msun] 			  TruncRadii[pc]			  CoreRadii[pc] 			  FitAlpha			 FitSigma0 			  FitSigmaBg
2.477300000000002456e+01 3.191037160606997350e+04 1.040305522407172703e+03 9.273359498107983656e-01 1.954732963747158603e-01 3.518699232762499740e+00 9.681502933563635452e+03 8.053698199663971025e+01
2.091100000000000136e+01 6.158808751404742907e+03 7.552217975167454824e+02 1.144023302648192075e+00 1.478859092869704850e-01 3.696559576872103570e+00 1.268980473715235530e+04 1.317760087424642457e+01
2.855700000000001637e+01 5.324563745935944098e+03 8.762573438737339302e+02 1.135668856195821519e+01 1.970036366583849397e-01 2.361932309870353741e+00 8.972545529077959145e+03 1.244739115470836488e+00
1.403800000000001091e+01 4.849424204451903279e+03 3.030890127782434433e+02 1.271538542622601575e+01 8.609824592310916236e-02 1.857362173949870021e+00 1.223749940248046187e+04 2.287920288580417516e+00
2.091100000000000136e+01 4.031183899328074767e+04 5.761692124101257377e+02 9.903219805422042166e-01 2.109733471440413677e-01 2.761572110538653924e+00 4.095214883363611534e+03 1.129138755895602202e+02
2.648400000000003729e+01 2.462023059904668844e+04 1.286777907715948822e+04 1.329692244239651263e+08 5.838630784682107056e+00 2.040520270230561373e+00 1.632757181025856994e+02 3.169172585941879093e-13
2.760700000000002774e+01 1.176045387205859151e+04 3.771107518725999626e+02 9.321223956861304227e-01 1.311068942334061294e-01 3.138706155309272550e+00 7.826725121358304932e+03 3.311247943792569970e+01
2.970700000000005048e+01 3.083805668297324883e+04 8.942626317615498692e+02 2.296734056326467766e+00 5.783392725195716233e-01 2.377817027613327028e+00 1.010072278625494278e+03 7.331399688509409884e+01
1.850700000000000500e+01 3.006883077265365046e+03 1.220358401285337351e+02 1.422993446212126223e+01 6.959674991294606539e-02 1.811461500654654166e+00 9.665725281534654641e+03 1.260804994808052859e+00
1.846900000000005093e+01 6.097790831340478690e+03 6.731977082500254710e+02 4.574897197173069863e+00 2.240475354434000588e-01 2.326296623310077472e+00 4.514833315599737034e+03 8.086084665551766193e+00
4.838900000000001000e+01 3.976167741892835693e+03 5.041480608588602763e+02 3.671182890810678057e+00 1.316621673565590844e-01 2.499621944902873150e+00 1.083448318645977088e+04 5.283432448326649045e+00
2.477300000000002456e+01 2.732502495730562441e+04 5.401586366344933765e+01 2.664008325255893816e-01 8.815894749476065051e-02 3.970782831257529732e+00 3.321163395614718411e+03 8.126980009993575038e+01
1.139400000000000546e+01 3.558044945386862764e+03 1.630478847618933571e+02 6.102954581119257149e+00 8.297107977352878583e-02 2.073971553460012274e+00 1.353401068030377064e+04 3.639946670791607275e+00
1.698000000000001819e+01 2.361693594618592215e+03 4.691377788547729892e+02 2.734839030918943426e+00 1.300172441550778435e-01 2.838590968089097721e+00 8.638366501413986043e+03 3.034770622791246542e+00
2.956800000000004047e+01 2.422711514682861434e+03 4.331272030791398606e+02 2.833627777890181498e+00 1.897779454424982637e-01 2.902892804662909665e+00 4.232449421297702429e+03 3.305021316777635221e+00
2.648400000000003729e+01 2.291873089364777479e+04 4.501321971954111945e+01 2.659667713364934349e-01 7.185396402745355959e-02 3.334330463382023435e+00 2.776309220082978754e+03 6.979886792563863196e+01
1.271200000000004593e+01 6.940038186981642866e+03 3.801116331872360377e+01 2.122249634612820182e+26 2.408799150211364190e-02 1.493219697824596404e+00 2.747902039902950128e+04 1.028046931637575987e-37
2.449100000000004229e+01 1.427419211995221758e+03 1.700499411627108373e+02 8.098075363590579556e+00 1.332807622403979764e-01 2.326137815115955298e+00 3.819203919796596438e+03 5.420498695505177045e-01
1.010610000000000355e+02 1.242364864259332080e+03 2.700793183172465888e+02 4.071723335883193684e+00 1.050906249940729287e-01 2.855652065788739424e+00 1.036305241035172003e+04 6.041122249773938080e-01
2.604799999999999827e+01 1.700499411627103655e+03 3.601057577563287992e+01 7.832383436602758309e+01 2.794131072979995356e-02 1.985907483642850080e+00 5.762373626906533900e+04 1.640299080645409718e-02
6.625200000000000955e+01 2.272667448951055121e+03 3.691084017002370388e+02 8.639052683091330566e+11 2.633497496968349783e+00 1.106131483241364677e+00 2.056303307917396594e+01 7.515898120688999646e-12
2.841900000000003956e+01 9.792876023429035968e+02 4.501321971954111234e+01 1.284662440084405777e+00 1.289633502225607242e-01 3.781079263228394716e+00 8.257943377688503460e+03 2.773905197085311691e+00
6.625200000000000955e+01 2.068607519555797808e+03 2.250660985977056896e+02 2.537229347448645367e+00 3.500605999231868881e-01 2.960095768499476421e+00 6.775038680790972876e+02 3.840483547042934820e+00
4.139000000000004320e+01 3.661075203856009921e+02 4.501321971954109102e+01 2.541320472623829652e+00 1.829229962392784903e-01 3.785338219915227675e+00 9.777406518646388577e+03 9.233837410749531349e-01
2.814900000000000091e+01 1.450425968740765484e+03 1.380405404732594263e+02 7.740350201514458739e+00 7.747633322272698408e-02 2.229522145423964652e+00 9.933437992595989272e+03 6.918004035951000885e-01
2.934300000000001774e+01 2.115621326818428770e+03 2.700793183172466883e+01 1.021509346947605978e+00 7.259692715072464664e-02 2.622162036283699482e+00 3.343965066514694627e+03 6.512934545728226610e+00
1.988000000000005230e+01 1.114327261501526664e+03 4.701380726263185039e+01 1.090676505498625382e+00 3.558570276807632160e-01 3.912404603022206384e+00 1.383381836952697483e+02 3.415886043187907450e+00
1.776400000000001000e+01 9.786874260799657350e+03 1.900558165936180544e+01 3.590768932420941306e-01 8.505967657686192007e-02 3.766755190413373366e+00 3.496449410787059151e+03 3.067462383874146781e+01
2.253000000000002956e+01 2.221652466602237837e+03 3.801116331872362508e+01 9.625941567769933371e-01 3.305999496214582778e-01 3.794314397703435926e+00 1.908039679003262563e+02 6.502179909423560389e+00
